record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
SD-001,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,"Federal compliance, commercial operation, and limits on state and local UAS regulation","SDCL §§ 50-15-2, 50-15-7, 50-15-10, 50-15-13",Binding statute or regulation,"July 1, 2017; substantially revised July 1, 2024","Current code effective July 1, 2026",Current / in force,Binding,Commercial operation; federal compliance; state preemption; local authority,Commercial and recreational UAS operators; state and political subdivisions,Operating UAS and regulating UAS at the state or local level,Federal-compliance requirement and limited state preemption,No separate general state commercial permit stated,No,High,High,"South Dakota requires drone operations to comply with applicable FAA regulations and expressly permits a business lawfully operating in the state to use a drone commercially when federally compliant. State and local governments generally may not regulate UAS equipment, registration, airspace, flight paths, or pilot qualifications. Political subdivisions may adopt operation rules consistent with federal and state law, regulate their own UAS, and enforce federal restrictions. Title 50 also disclaims intrusion on exclusive federal airspace authority, so the statute does not eliminate property, facility, or other state restrictions.","Use the state rule to identify what a political subdivision may regulate, then check only the controlling property's published operating terms before launch. Record the applicable boundary, property owner, designated-use area, notice, and permission status in the flight packet without assuming that state preemption eliminates property-use conditions.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Preserve the mission screening and factual basis for compliance with SDCL §§ 50-15-2, 50-15-7, 50-15-10, 50-15-13, including the operating area, purpose, approvals, and any relied-upon exception. Escalate ambiguous scope, conflicting client direction, or facts that could change the regulated party or activity before flight.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,Local ordinance research is deferred. Section 50-15-10 preserves a narrower category of consistent local operating rules while § 50-15-7 limits listed subjects.
SD-002,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,Airspace overflight liability and preservation of privacy and trespass torts,SDCL §§ 50-15-8 to 50-15-9,Binding statute or regulation,"July 1, 2024","Current code effective July 1, 2026",Current / in force,Binding,Liability; overflight; privacy; trespass,Federally compliant UAS operators and affected property owners,Operating in airspace over South Dakota and using UAS in conduct alleged to invade privacy or trespass,Limited liability protection with express tort preservation,No,No,High,High,"A federally compliant UAS operation in airspace over South Dakota does not, standing alone, create liability under state or local law. That protection is narrow: the same chapter expressly preserves claims when a drone is used as an instrumentality of a privacy tort or trespass under federal or state law. The provisions therefore distinguish lawful overflight from the operator's imaging, observation, physical intrusion, landing, or other conduct. They do not create a general right to enter property, use a site, collect any desired data, or disregard the chapter's separate criminal restrictions.","Use a mission-specific collection plan for Statewide that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Airspace overflight liability and preservation of privacy and trespass torts as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-003,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,Intentional UAS observation in a private place and business-purpose exception,SDCL § 50-15-5,Binding statute or regulation,"July 1, 2017","Current code effective July 1, 2026",Current / in force,Binding,Privacy; photography; recording; observation,Any UAS operator or person directing UAS observation,"Intentionally photographing, recording, or otherwise observing another person in a private place",Class 1 misdemeanor prohibition with stated exceptions,No state permit; consent or another lawful basis may be relevant,No,High,High,"Except as authorized by law, a person may not intentionally use a drone to photograph, record, or otherwise observe another person in a private place where that person has a reasonable expectation of privacy. A violation is a Class 1 misdemeanor. The statute excepts lawful law-enforcement activity, designated emergency-management work within assigned duties, and a bona fide business or governmental operation when the covered photography, recording, or observation is unintentional or incidental. The business exception is limited to incidental collection and does not authorize intentional surveillance or negate separate restrictions on data use, property access, or landing.","Use a mission-specific collection plan for Statewide that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Intentional UAS observation in a private place and business-purpose exception as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-004,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,"Careless operation, endangerment, voyeurism, and harassment",SDCL § 50-15-5.1,Binding statute or regulation,"July 1, 2021","Current code effective July 1, 2026",Current / in force,Binding,Operational safety; harassment; voyeurism,Any UAS operator,Operating carelessly or for voyeuristic or harassment purposes,Class 1 misdemeanor prohibition,No,No,High,High,"South Dakota makes it a Class 1 misdemeanor to intentionally or willfully operate a drone in a careless manner that endangers the life or property of another person. The same section prohibits operating a drone for voyeuristic or harassment purposes. The statutory standard addresses the purpose and manner of the flight rather than imposing a separate state flight certificate or numeric operating limit. Compliance with FAA rules does not replace this state obligation, and an otherwise commercial or professionally planned mission can still violate the provision if intentionally or willfully conducted in the prohibited manner.","Use a mission-specific collection plan for Statewide that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Careless operation, endangerment, voyeurism, and harassment as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-005,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,Landing on another owner's property or water without consent,"SDCL §§ 50-15-6, 50-15-12",Binding statute or regulation,"July 1, 2021; exceptions revised July 1, 2024","Current code effective July 1, 2026",Current / in force,Binding,Landing; property consent; emergency exceptions; damage liability,Any UAS operator,"Landing a drone on real property, personal property, or qualifying waters owned by another","Class 1 misdemeanor prohibition, affirmative defense, and exceptions",Yes — landowner consent unless authorized by law or an express exception applies,No,High,High,"A person generally may not land a drone on another owner's real or personal property, or on waters overlying the owner's real property, without consent; a violation is a Class 1 misdemeanor. A forced landing or technical malfunction is an affirmative defense, but the operator remains liable for resulting damage. Chapter-wide exceptions cover landings reasonably necessary for an emergency or for maintenance support involving public or private critical infrastructure, qualifying public-safety duties, and federal government or federal-contract duties. The exceptions do not erase damage exposure or create general access permission for routine commercial work.","Make active emergency operations a dispatch and in-field stop-work check for Statewide. The remote pilot should have a clear deconfliction contact and an immediate land-or-relocate procedure if responders, temporary restrictions, or crewed aircraft appear.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under SDCL §§ 50-15-6, 50-15-12; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-006,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,"Drone operations over correctional, detention, and military facilities; countermeasure authority","SDCL §§ 50-15-3, 50-15-3.1; 2026 S.D. Sess. Laws ch. 192",Binding statute or regulation,"July 1, 2017; felony and countermeasure amendments effective July 1, 2026",2026 S.D. Sess. Laws ch. 192,Current / in force,Binding,Correctional facilities; military facilities; counter-UAS; law enforcement,Any UAS operator; law-enforcement officers,Operating over covered facility grounds and responding to a prohibited flight,"Facility-authorization requirement, Class 6 felony, and rulemaking authority",Yes — express authorization from the facility administrator,No,High,High,"No person may operate a drone over the grounds of a prison, correctional facility, jail, juvenile detention facility, or military facility without express authorization from the facility administrator. Effective July 1, 2026, a violation is a Class 6 felony rather than a misdemeanor. Law-enforcement officers may use mitigation techniques and countermeasures authorized under § 50-15-3.1, which permits the Department of Public Safety to adopt rules defining authorized measures and training. No final implementing rule was located in the current administrative-rule collection, so operators should not infer the available countermeasures from the statute alone.","Treat written facility coordination as a pre-mobilization gate for work within Statewide; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Yes — express authorization from the facility administrator. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under SDCL §§ 50-15-3, 50-15-3.1; 2026 S.D. Sess. Laws ch. 192; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,The 2026 session law was also verified at https://mylrc.sdlegislature.gov/api/Documents/SessionLaw/306466.pdf?Year=2026. Implementing-rule status is an open verification item.
SD-007,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,Drone delivery of contraband to correctional facilities,SDCL § 50-15-4,Binding statute or regulation,"July 1, 2017","Current code effective July 1, 2026",Current / in force,Binding,Correctional facilities; payload delivery; contraband,Any person using a drone to deliver covered items,Delivering contraband or controlled substances to a correctional facility,Additional Class 6 felony offense,No,No,Moderate,Low,"Using a drone to deliver contraband or a controlled substance to a state prison or other correctional facility is a Class 6 felony in addition to the penalty for the underlying contraband or controlled-substance offense. This is a payload-delivery provision, separate from the broader prohibition on operating over covered correctional grounds without administrator authorization. It does not create an exception for a commercial operator, contractor, accidental routing decision, or federally compliant flight. Ordinary AEC payloads are not the statute's target, but the provision reinforces the need to control attached equipment and avoid covered grounds.",This record has no routine effect on an AEC mission or ordinary fleet operation because it applies to a separately regulated person or activity. Do not treat it as a general UAS operating rule; address it only if the stated regulated-party condition is actually present.,N/A — no agency process involved,"Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Treat Drone delivery of contraband to correctional facilities as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-008,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,Takeoff and landing in highway rights-of-way and controlled-access facilities,SDCL §§ 50-15-11 to 50-15-12; § 31-8-1,Binding statute or regulation,"July 1, 2024","Current code effective July 1, 2026",Current / in force,Binding,Highway right-of-way; takeoff; landing; controlled-access facilities,Any UAS operator,Taking off or landing within highway rights-of-way,Prohibition and safety condition with chapter-wide exceptions,No general permit stated; controlled-access use is limited to a state agency or its agent,No,High,High,"Drone takeoff or landing within a controlled-access highway facility is prohibited unless conducted by a state agency or its agent. Within any other public-highway right-of-way, takeoff or landing is prohibited when conducted carelessly or in a manner that endangers persons or property. A violation is a Class 1 misdemeanor. Chapter-wide exceptions apply to qualifying emergency or critical-infrastructure maintenance support, forced or malfunction landings that comply with FAA rules, sworn public-safety duties, and federal government or federal-contract duties. The statute does not itself grant site access or define how a consultant establishes state-agent status.",Add Takeoff and landing in highway rights-of-way and controlled-access facilities to the mission-specific legal and site screening for Statewide. Brief the crew on the triggering conduct and document the operational boundary or exception relied upon before launch.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Takeoff and landing in highway rights-of-way and controlled-access facilities as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,
SD-009,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,State aircraft registration exemption for small unmanned aircraft systems,"SDCL §§ 50-1-1, 50-11-9, 50-11-12, 50-11-29",Binding statute or regulation,"July 1, 2018; definitions revised July 1, 2026","Current code effective July 1, 2026",Current / in force,Binding,Aircraft registration; small UAS; weight threshold,Owners or lessees of aircraft operated in South Dakota,Registering aircraft for state purposes,Small-UAS exemption from state aircraft registration,No state aircraft registration for qualifying small UAS,No,High,High,"South Dakota's aircraft-registration chapter requires registration and weight-based fees for covered aircraft, but § 50-11-29 exempts an individual operating a small unmanned aircraft system. Title 50 defines a small unmanned aircraft as an unmanned aircraft weighing not more than 55 pounds, including everything onboard or attached. Accordingly, the ordinary small-UAS fleet used for AEC work is outside this state aircraft-registration scheme, although federal registration remains separate. A heavier unmanned aircraft may fall within the general state registration and fee provisions, and the text should be rechecked for uncommon or heavy-platform acquisitions.","Do not add a Virginia aircraft-registration task for the unmanned aircraft covered by this express exemption. Keep the exemption citation with the fleet compliance record while continuing to screen for mission-specific property, facility, wildlife, and client requirements.",N/A — no agency process involved,"Do not create a state-registration purchasing gate where this record expressly exempts unmanned aircraft. Keep federal registration and asset records current, and separately check whether a mission-specific permit, property rule, weight threshold, or public-client specification still affects the selected system.","Preserve the mission screening and factual basis for compliance with SDCL §§ 50-1-1, 50-11-9, 50-11-12, 50-11-29, including the operating area, purpose, approvals, and any relied-upon exception. Escalate ambiguous scope, conflicting client direction, or facts that could change the regulated party or activity before flight.",https://sdlegislature.gov/api/Statutes/50.html?all=true,2026-08-02,High,Verified against current official source,"This row reports the current exemption and does not incorporate 2026 SB 205, which proposed different drone fees but did not enact."
SD-010,South Dakota,SD,46,South Dakota,State,Statewide,South Dakota Legislature,"Use of aircraft and drones to hunt, locate, or spot wildlife",SDCL § 41-8-39,Binding statute or regulation,"Current drone exception effective July 1, 2020",Current code reviewed 2026-08-02,Current / in force,Binding,Wildlife; hunting; locating; spotting,Any aircraft or drone operator assisting wildlife activity,"Hunting, taking, driving, locating, or spotting wild birds or animals",Class 1 misdemeanor prohibition with narrow predator-or-varmint exception,Landowner or lessee permission is required for the narrow drone exception when the operator is not the landowner,No,Moderate,Moderate,"South Dakota makes it a Class 1 misdemeanor to kill or attempt to kill wildlife from an aircraft or to use an aircraft to hunt, take, concentrate, drive, rally, stir up, locate, or spot a wild bird or animal. A drone may be used to locate or spot a predator or varmint only on privately owned land, by the landowner or with the landowner's or lessee's permission, outside September through November, and in full FAA compliance. The exception does not authorize general wildlife surveys performed for hunting purposes or relax separate property and resource-agency requirements.","Screen the mission for active hunting and wildlife sensitivity within Statewide; plan altitude, stand-off distance, route, observers, and abort criteria to avoid pursuit, harassment, surveillance of participants, or assistance to a taking. Document the project's environmental or infrastructure purpose and pause if animals materially react or the flight would disrupt lawful hunting or fishing.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under SDCL § 41-8-39; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://sdlegislature.gov/Statutes/41-8,2026-08-02,High,Verified against current official source,A 2026 proposal concerning drone-assisted deer or elk recovery was reviewed but did not change the current codified text.
