record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
MN-001,Minnesota,MN,27,Minnesota,State,Statewide,Minnesota Legislature,Use of Unmanned Aerial Vehicles (Law Enforcement),"Minn. Stat. § 626.19 (2025), enacted 2020 c 82 s 5, amended 2025 c 35 art 5 s 23",Binding law or regulation,Unknown — original enactment 2020 c 82 s 5; exact effective date not independently confirmed in this pass,2025 c 35 art 5 s 23 (amended Subd. 3); exact effective date not independently confirmed in this pass,Current / in force,Binding (statute),Law enforcement UAV use; privacy/surveillance limits; warrant requirement; weaponization ban (law enforcement),State and local law enforcement agencies,"Use of an unmanned aerial vehicle (UAV) by a law enforcement agency for investigations, training, emergencies, or requests for service","Warrant requirement with enumerated exceptions, plus use limitations, documentation, and reporting duties","Search warrant required unless one of 11 enumerated exceptions in Subd. 3 applies (e.g., imminent emergency, active missing-person search, public-event safety, evidence at risk of destruction)",Yes,"None directly (governs law enforcement agencies, not private/commercial operators)","Indirect — relevant background where an AEC firm's UAS work occurs alongside, or is requested by, a law enforcement agency (e.g., emergency-scene documentation, crash reconstruction) under Subd. 3(8)","Minn. Stat. § 626.19 requires a law enforcement agency to obtain a search warrant before using a UAV, subject to 11 enumerated exceptions (Subd. 3) including emergencies, imminent risk of evidence destruction, heightened-risk public events, terrorist-attack countermeasures, disaster response, threat assessment, reasonable-suspicion public-area monitoring, crash reconstruction, training/public relations with consent, government-entity requests, and active missing-person searches. Subd. 4 bars deploying facial recognition/biometric matching without a warrant, bars equipping a UAV with weapons, and restricts collecting data on protests/demonstrations absent a warrant or exception. The statute also sets documentation (Subd. 5), data classification/retention (Subd. 6, generally private/nonpublic data, deletion within 7 days absent an active investigation), an exclusionary rule for violations (Subd. 7), a civil remedy (Subd. 8), public-comment and written-policy requirements (Subd. 9-10), sealed-warrant notice procedures (Subd. 11), and annual reporting to the commissioner of public safety and the state court administrator (Subd. 12).",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.revisor.mn.gov/statutes/cite/626.19,2026-08-02,High,"Minn. Stat. § 626.19 (all 12 subdivisions) fetched and read in full directly from the official Minnesota Revisor of Statutes website (revisor.mn.gov), 2025 Minnesota Statutes as posted.","Applies only to law enforcement agencies, not to private commercial UAS operators; included because AEC UAS program managers may encounter this framework when performing emergency-scene, crash-reconstruction, or disaster-related work at a public agency's request, and because it establishes Minnesota's only statewide law-enforcement UAS weaponization/biometric restriction."
MN-002,Minnesota,MN,27,Minnesota,State,Statewide (state correctional facilities and their grounds),Minnesota Legislature,Unmanned Aerial Vehicle Prohibition (Correctional Facilities),"Minn. Stat. § 243.552 (2025), enacted 2020 c 110 s 5",Binding law or regulation,Unknown — original enactment 2020 c 110 s 5; exact effective date not independently confirmed in this pass,None identified since original 2020 enactment,Current / in force,Binding (statute); criminal,Critical-infrastructure / correctional-facility UAS restriction,Any individual,"Knowingly flying a UAV in the airspace over a state correctional facility, or over grounds belonging to or land controlled by the facility, without written consent of the commissioner of corrections or designee",Prohibition with a consent-based exception,Written consent of the commissioner of corrections or designee,No,Yes,"Yes — directly relevant to any AEC firm performing inspection, mapping, or construction-monitoring UAS work at or near a Minnesota state correctional facility","Minn. Stat. § 243.552, Subd. 2(a) makes it a misdemeanor to knowingly fly a UAV in the airspace over a state correctional facility, or over grounds belonging to or land controlled by the facility, without the written consent of the commissioner of corrections or a designee. Subd. 2(b) elevates the offense to a gross misdemeanor if the person additionally uses the UAV to record images (video or photographs) of the facility or its grounds, or to introduce or attempt to introduce non-contraband items as defined by the separate contraband statute, Minn. Stat. § 243.55. Subd. 1 defines UAV consistent with the standard 'no possibility of direct human intervention from within or on the aircraft' definition.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.revisor.mn.gov/statutes/cite/243.552,2026-08-02,High,Minn. Stat. § 243.552 fetched and read in full directly from the official Minnesota Revisor of Statutes website (revisor.mn.gov).,Statute does not specify a form or process for obtaining the commissioner's written consent; applicants should confirm the request procedure directly with the Minnesota Department of Corrections before mobilizing a flight near a state correctional facility.
MN-003,Minnesota,MN,27,Minnesota,State,Statewide,"Minnesota Legislature; administered by the Minnesota Department of Transportation (MnDOT), Office of Aeronautics",Small Unmanned Aircraft System Registration Requirement,"Minn. Stat. § 360.55, Subd. 9-10 (2025); Subd. 9 added by 1Sp2021 c 5 art 4 s 111; Subd. 10 added by 1Sp2025 c 8 art 2 s 90",Binding law or regulation,Unknown — Subd. 9 added by 1Sp2021 c 5 art 4 s 111; exact effective date not independently confirmed in this pass,"1Sp2025 c 8 art 2 s 90 (Subd. 10, coordinated UAS fleet events, added 2025)",Current / in force,Binding (statute),State aircraft registration requirement specific to small unmanned aircraft systems,"Owners/operators of small unmanned aircraft systems (under 55 lbs at takeoff including payload) used in Minnesota airspace, and organizers of coordinated multi-UAS events",Operating a small UAS in Minnesota airspace; conducting a coordinated unmanned aircraft system fleet event,State aircraft registration (annual fee) unless operated solely for recreational purposes; separate fleet-event registration for coordinated multi-UAS events,"State registration certificate from MnDOT (Office of Aeronautics); coordinated fleet events additionally require event-specific registration at least 15 days before the event, including proof of liability insurance, pilot license, and commercial operator's license copies",No,Yes,Yes — directly applicable to essentially all commercial AEC UAS operations conducted in Minnesota airspace,"Minn. Stat. § 360.55, Subd. 9(a) requires a small unmanned aircraft system (unmanned aircraft under 55 lbs at takeoff, including payload) to be registered with the state for an annual $25 fee, unless the system is owned and operated solely for recreational purposes, in which case it is exempt from registration and fee. Subd. 9(b) exempts a qualifying system from the separate aircraft registration tax otherwise imposed under §§ 360.511-360.67. Subd. 10 separately requires an operator planning a 'coordinated unmanned aircraft system fleet' event to register the fleet at least 15 days beforehand, providing organizer contact information, event date/time/location, number of aircraft, proof of liability insurance, a copy of the operator's small UAS pilot license, and a copy of the commercial operator's license, subject to a $2-per-aircraft daily fee in lieu of the Subd. 9 fee.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.revisor.mn.gov/statutes/cite/360.55,2026-08-02,High,"Minn. Stat. § 360.55, including Subd. 9 and Subd. 10, fetched and read in full directly from the official Minnesota Revisor of Statutes website (revisor.mn.gov), 2025 Minnesota Statutes as posted.","This registration requirement is separate from, and in addition to, FAA registration; MnDOT's own commercial-operator webpage (see MN-004) describes registration as a near-universal prerequisite for commercial drone use in Minnesota, with insurance required per Minn. Stat. § 360.59, Subd. 10 (not independently verified in this pass)."
MN-004,Minnesota,MN,27,Minnesota,State,Statewide,"Minnesota Department of Transportation (MnDOT), Office of Aeronautics",Commercial UAS Operators — Commercial Operations License,"MnDOT official guidance (dot.state.mn.us/aero/drones/commercial.html), citing Minn. Stat. § 360.075 as the licensing authority",Official agency policy,Unknown — current MnDOT guidance as of the date accessed,Unknown — page last-modified date not displayed,Current (as posted),Official agency policy interpreting a statutory licensing requirement,State commercial-operator licensing for UAS,"Any person or business that advertises or holds itself out as providing a service involving aircraft, including drones, where flight-derived outputs (imagery, data) are provided to a third party",Commercial drone operation in Minnesota where the drone's output is provided to a client/third party (as opposed to a solely internal business process),"Commercial Operations License (annual, $30) in addition to aircraft registration under Minn. Stat. § 360.55","Yes — Minnesota Commercial Operations License from MnDOT Office of Aeronautics, applied for through MnDOT's licensing portal",No,Yes,"Yes — directly applicable to AEC firms providing surveying, mapping, inspection, or construction-documentation deliverables to clients using UAS in Minnesota","MnDOT's official commercial-operator guidance states that Minnesota statutes require a license when a person advertises or holds themselves out as providing a service involving aircraft, including drones, and that the determination of whether a Commercial Operations License (in addition to aircraft registration) is required turns on a case-by-case test of whether flight outputs are provided to a third party. MnDOT's illustrative examples: a drone flight whose photos are delivered to a client requires both registration and licensing, even with no separate charge for drone use; a drone flight used only for internal sightline planning (with client deliverables produced by other means) requires registration but not licensing. The page directs applicants to MnDOT's separate Commercial Operations licensing page and lists special drone-specific instructions for the application (e.g., entering 'Private-UAV' for the operating airport field).",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.dot.state.mn.us/aero/drones/commercial.html,2026-08-02,Moderate,"MnDOT's official commercial-operator webpage was fetched and read in full directly from dot.state.mn.us. CITATION DISCREPANCY FLAGGED: the page cites Minn. Stat. § 360.075 as requiring the license, but § 360.075 (fetched and read in full) is in fact a criminal violations/penalties section (unauthorized aircraft use, weapons discharge, low flying, acrobatics, etc.) and does not itself impose a licensing requirement. The substantive commercial-operator/flight-operator licensing authority appears to reside elsewhere in Chapter 360 (a 'flight operator's license' is referenced in passing at Minn. Stat. § 360.63, Subd. 1, and Minn. R. ch. 8800 likely implements the licensing rules), but the precise enabling section was not independently pinned down in this pass.","Confidence rated Moderate rather than High solely because of the unresolved citation discrepancy noted above; MnDOT's description of the licensing practice itself (case-by-case third-party-output test, $30 annual fee, application process) is an official, current agency statement and is not in doubt. Applicants should confirm the exact statutory/rule citation and current fee with MnDOT's UAS Commercial Operations License contact before relying on this record for a legal citation."
MN-005,Minnesota,MN,27,Minnesota,State,"State parks, state recreation areas, and state waysides managed by the Minnesota DNR Parks and Trails Division","Minnesota Department of Natural Resources (DNR), Parks and Trails Division",Unmanned Aircraft Systems/Drones — State Park and Recreation Area Rules,Minn. R. 6100.2200 (Aircraft in State Parks); DNR official state park rules page,Binding law or regulation (rule) plus official agency policy (permit practice),"Minn. R. 6100.2200 published electronically June 11, 2008 (14 SR 2497)",DNR state park rules webpage last modified 2026-05-05 (per page metadata),Current / in force,Binding (administrative rule) for the landing prohibition; official agency policy for the permit and discouragement practice,"UAS use on state park, recreation area, and wayside land","Any person operating a UAS in or over a Minnesota state park, state recreation area, or state wayside",Landing an aircraft (including a UAS) within state park/recreation area/wayside boundaries; using a UAS for filming/photography/videography on DNR park land,Landing prohibition (rule) plus a permit requirement for aircraft/drone use in film and photography projects (agency policy),"Yes, for film/photography/videography projects using an aircraft or drone — application through the park/area supervisor, or through the DNR public relations supervisor for aircraft/drone-specific projects; review may take up to 30 days",No,Yes,"Yes — relevant to AEC firms performing mapping, inspection, or environmental documentation work within DNR state park, recreation area, or wayside boundaries","Minn. R. 6100.2200 makes it unlawful for any person to land an aircraft on land or water totally within the boundaries of a state park, except by permit, at a designated airport/landing strip, in an emergency, during rescue operations, or while conducting official federal/state/county business. The DNR's own official state park rules page (dnr.state.mn.us/state_parks/rules.html) expressly states that unmanned aircraft/drones are 'aircraft' under the FAA's definition and that, because landing is prohibited, operating a UAS in these areas is 'not practical'; the Division 'discourages' UAS use in state parks, recreation areas, and waysides due to landing impracticality and stated concerns about wildlife, DNR infrastructure, and visitor safety/privacy/experience. The same DNR page separately requires a film/photography permit whenever a project 'involves the use of an aircraft, including unmanned aircraft (drone),' regardless of whether other permit triggers apply, with the aircraft/drone-specific application routed through the DNR public relations supervisor and a review period of up to 30 days.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.dnr.state.mn.us/state_parks/rules.html; https://www.revisor.mn.gov/rules/6100.2200/,2026-08-02,High,"Minn. R. 6100.2200 and the DNR's official state park rules webpage were each fetched and read in full directly from revisor.mn.gov and dnr.state.mn.us, respectively.","The rule text itself does not use the word 'drone' or 'UAS'; the DNR's own official webpage is the source that expressly applies the general aircraft-landing rule (and the film/photography permit requirement) to unmanned aircraft, satisfying the project's scope-gate standard for including a non-UAS-specific rule. 'Discouraged' is DNR's own characterization and is not itself a binding prohibition on overflight (only on landing)."
MN-006,Minnesota,MN,27,Minnesota,State,Statewide (game and fish law; applies wherever wild animals are taken or pursued),Minnesota Legislature; interpreted and enforced by the Minnesota DNR Division of Enforcement,"Hunting-Related Drone Restrictions (Radio Equipment, Artificial Light, and Thermal/Night-Vision Equipment Applied to UAS)","Minn. Stat. § 97B.085, Subd. 1 (Using Radios to Take Animals); Minn. Stat. § 97B.081 (Using Artificial Lights to Locate Animals); Minn. Stat. § 97B.086 (Possessing Night Vision or Thermal Imaging Equipment); as applied to drones per DNR enforcement guidance","Binding law or regulation, as applied to UAS by official agency guidance",Unknown — underlying statutes have separate multi-year enactment/amendment histories (see notes); DNR drone-specific guidance document is undated,§ 97B.085 last amended 1Sp2015 c 4 art 5 s 24; § 97B.081 last amended 1Sp2019 c 4 art 3 s 56; § 97B.086 last amended 1Sp2021 c 6 art 2 s 66,Current / in force,"Binding (statute); DNR guidance document is agency interpretive guidance, not itself a rule",Hunting-related UAS restrictions,"Any person taking or attempting to take (or assisting in taking) big game, small game, or other wild animals",Using a drone equipped with radio-control equipment to take game; using a drone to cast artificial light to spot/locate/take a wild animal; using a drone equipped with thermal-imaging or night-vision equipment while taking wild animals,Prohibition,No,No,Limited (relevant primarily to recreational/hunting-adjacent UAS use rather than typical AEC commercial operations),"Low-to-moderate — primarily relevant where an AEC/environmental-consulting UAS mission involves wildlife survey or monitoring work that could be characterized as using radio equipment, artificial light, or thermal/night-vision sensors to locate animals in a hunting context","Minn. Stat. § 97B.085, Subd. 1 prohibits using 'radio equipment' to take big or small game. Minn. Stat. § 97B.081 prohibits casting artificial light (spotlight, headlight, or similar) to spot, locate, or take a wild animal, subject to enumerated exceptions (e.g., licensed bear/deer-hunter tracking, certain fox/coyote hunting). Minn. Stat. § 97B.086 prohibits possessing night-vision or thermal-imaging equipment while taking wild animals or while possessing an implement that could be used to do so, subject to exceptions for peace officers/military and certain coyote/fox hunters outside firearms deer season. None of these three statutes mentions 'drone' or 'unmanned aircraft' in its own text. The DNR's own official enforcement guidance document, 'Drone use while hunting' (files.dnr.state.mn.us), states directly that 'it is not legal to use drones to take big or small game, which includes using drones to recover dead or wounded game,' and cites § 97B.085, Subd. 1 (radio equipment) together with §§ 97B.081 and 97B.086 (artificial light; thermal/night-vision) as the applicable authorities for that position.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://files.dnr.state.mn.us/enforcement/drone-use-while-hunting.pdf; https://www.revisor.mn.gov/statutes/cite/97B.085; https://www.revisor.mn.gov/statutes/cite/97B.081; https://www.revisor.mn.gov/statutes/cite/97B.086,2026-08-02,Moderate,All three underlying statutes and the DNR enforcement guidance PDF were each fetched and read in full from revisor.mn.gov and files.dnr.state.mn.us. Confidence is Moderate rather than High because the statutory text itself is silent on drones/UAS; the drone-specific application rests on the DNR's own official (but non-rule) enforcement guidance rather than on statutory or rule text that names UAS directly.,"This record combines three related statutes under a single DNR-sourced topic (drone-assisted hunting) rather than creating three near-duplicate rows, consistent with the instruction not to split one policy position across multiple records. A companion secondary claim that Minnesota Wildlife Management Areas categorically 'ban' drone operations disturbing wildlife absent an area-manager permit could not be independently verified against a codified rule in this pass and is therefore NOT included as a source-register record; see the research checklist / summary's unresolved-questions section."
MN-007,Minnesota,MN,27,Minnesota,State,Statewide (state/local regulatory boundary),"Minnesota Legislature (absence of enactment); Minnesota Department of Transportation, Office of Aeronautics (official acknowledgment)",Absence of Statewide Preemption of Local UAS Ordinances,No Minnesota statute located that preempts local UAS/drone ordinances; MnDOT 'Local Ordinances for UAS Operators' webpage,"Official agency policy (documenting a negative/research finding, not a grant of authority)",Not applicable,MnDOT local-ordinances page updated on an ongoing basis as new ordinances are reported to the agency (undated),Current (as posted); ongoing research finding,Not applicable — this record documents the absence of a preemption statute rather than a source of binding authority,State preemption of local UAS regulation,Not applicable,Not applicable,Not applicable (negative finding),No,No,Yes,"Yes — materially affects multi-jurisdiction AEC UAS project planning, since Minnesota localities remain free to impose their own drone ordinances absent a state preemption statute","No Minnesota statute or administrative rule was located during this pass that preempts local government regulation of UAS operation (contrast, e.g., Michigan's MCL 259.305). MnDOT's own official 'Local Ordinances for UAS Operators' webpage confirms this posture, stating that 'some communities in Minnesota have enacted ordinances or rules related to the operation of drones and model aircraft' and maintaining a non-exhaustive list of known local ordinances (e.g., Champlin, Dakota County, Eagan, Isanti, Minneapolis, Ramsey County, St. Bonifacius, Three Rivers Park District, University of Minnesota, Washington County, Wright County), while expressly disclaiming completeness and placing the burden on the operator to research applicable local rules. MnDOT separately describes itself as 'the state-level regulatory agency for aircraft in Minnesota' and offers assistance to communities developing a local UAS ordinance, but this is stated as an advisory/coordination role, not a statutory preemption authority.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.dot.state.mn.us/aero/drones/local.html,2026-08-02,Moderate,"MnDOT's local-ordinances webpage was fetched and read in full. The negative finding (no preemption statute) reflects a targeted search of Minn. Stat. ch. 360 and keyword searches of revisor.mn.gov and is reported as a research result rather than a definitive legal conclusion that no such statute exists anywhere in Minnesota law; per Section 4 of the governing instructions, absence of a located statute is not treated as proof of non-existence.","Local ordinances themselves are out of scope for this Phase 1, state-level research pass and are not separately researched; this record exists solely to document Minnesota's state/local regulatory boundary posture as MnDOT itself describes it. Per current program instructions, local-ordinance detail (beyond the existence list above) is deferred."
MN-008,Minnesota,MN,27,University of Minnesota,"State entity (public university, constitutional corporation)","University of Minnesota system property and airspace above it (Twin Cities, Duluth, Morris, Crookston, Rochester campuses)",University of Minnesota (Board of Regents / University Policy Program; policy owner: Police Chief),Use of Unmanned Aircraft Systems (Drones) — University of Minnesota Administrative Policy,"University of Minnesota Administrative Policy, 'Use of Unmanned Aircraft Systems (Drones),' effective November 2016",Official agency policy,2016-11 (November 2016),Unknown — no subsequent amendment identified in this pass beyond the original November 2016 effective date shown in the policy's History section,Current / in force,Official agency (university) policy,State-university facility-specific UAS use restriction,"Any UAS operator on University of Minnesota property or in airspace over University of Minnesota property, including students, faculty, staff, and outside commercial operators","Launching, landing, or flying a UAS on University property or in airspace over University property, including for mission-related (teaching/research/outreach), public-relations, communications, commercial, or public-safety purposes",Prior-approval/program-plan requirement; blanket prohibition on non-mission-related and recreational use,"Yes — a program plan reviewed by the University's UAS Safety Board (UASSB), submitted at least 5 business days before the planned activity; commercial/public-relations use additionally requires review by University Marketing Communications, University Services, and the relevant campus law enforcement agency",No (governs private/commercial operators on University property as well as University personnel),Yes,"Yes — directly applicable to any AEC firm retained to perform UAS-based facility inspection, mapping, or construction documentation on a University of Minnesota system campus","The University of Minnesota's administrative policy on UAS use, effective November 2016, requires anyone operating a UAS on University property or in University airspace to obtain approval from the University's UAS Safety Board (UASSB) via a program plan submitted at least 5 business days in advance, except for use inside an enclosed classroom or research lab. A request for public-relations, communications, or commercial UAS use on the University's behalf requires review and approval by University Marketing Communications, University Services, and the relevant campus law enforcement agency, and commercial operators must have completed all required federal, state, and local registration/licensure requirements. The policy prohibits UAS use for recreation or any other non-mission-related purpose on University property, and imposes a stadium-specific blackout (3 hours before/during/after main-bowl events at Huntington Bank Stadium and Malosky Stadium, extending to all East Bank/West Bank/Saint Paul/Duluth campus property and airspace). All UAS on University property, regardless of ownership, must be registered with the FAA and the MnDOT Office of Aeronautics. The University holds a blanket FAA Certificate of Waiver or Authorization (COA); where University policy and FAA regulation diverge, the more restrictive standard governs.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://policy.umn.edu/operations/drones,2026-08-02,High,The University of Minnesota's official UAS policy page was fetched and read in full directly from policy.umn.edu.,"Per a December 2025 Minnesota Court of Claims decision addressed in Michigan's register regarding a similarly structured Michigan statute (Michigan Coalition of Drone Operators, Inc v Regents of Univ of Mich), a public university organized as a constitutional corporation may fall outside a state UAS preemption statute's definition of 'political subdivision'; Minnesota's own preemption posture is addressed separately at MN-007, and no equivalent Minnesota court decision addressing the University of Minnesota's status was identified in this pass."
MN-009,Minnesota,MN,27,Minnesota,State,Statewide,"Minnesota Board of Architecture, Engineering, Land Surveying, Landscape Architecture, Geoscience, and Interior Design (AELSLAGID)",Professional Licensing — No UAS-Specific Land Surveying/Engineering Guidance Located,Not applicable — research result; general licensing statutes at Minn. Stat. ch. 326.02-326.15 (land surveying/engineering licensure) reviewed for UAS-specific content,Discovery lead — not final authority and not included in the final source register as a substantive rule,Not applicable,Not applicable,Reviewed — no applicable UAS-specific source located,Not applicable,UAS-specific professional-licensing board guidance,Not applicable,Not applicable,Not applicable (negative finding),No,No,"Potentially significant if such guidance is later located, since UAS-derived surveying/mapping deliverables in Minnesota are generally expected to remain subject to standard licensed-land-surveyor supervision requirements","Yes — directly relevant to AEC firms relying on Minnesota-licensed land surveyors or engineers to certify UAS-derived photogrammetry, lidar, or mapping deliverables","The Minnesota Board of AELSLAGID's public website (mn.gov/aelslagid) was reviewed for UAS-specific guidance, FAQs, board opinions, or policy statements addressing drone-derived surveying, mapping, or engineering work product. No board-issued, UAS-specific statement, opinion, or guidance document was located in this pass. The Board's general land-surveying materials confirm that unlicensed staff working on Minnesota projects must be supervised by a Minnesota-licensed land surveyor, but this is a general supervision requirement rather than a UAS-specific pronouncement, and per the scope gate for this project a general surveying/engineering statute is not included solely because UAS-derived work could implicate it.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://mn.gov/aelslagid/professions/land-surveying.jsp; https://mn.gov/aelslagid/about-us/about-the-board.jsp,2026-08-02,Low,"The Board's public land-surveying and about-the-board pages were fetched and reviewed; a comprehensive search of Board meeting minutes, opinions, and archived guidance was not performed in this pass and could not rule out an unpublished or hard-to-locate board statement.","Recorded per the assignment's instruction to include this category with a Low-confidence, negative-finding entry when no UAS-specific board guidance is located, rather than silently omitting the licensing-board research category from the register."
MN-010,Minnesota,MN,27,Minnesota,State,Statewide,Not applicable — consolidated research-result record,"Executive Orders, Attorney General Opinions, Court Decisions, and State UAS Procurement — Research Result",Not applicable — research result documenting an absence of located authority in each category,Discovery lead — not final authority and not included in the final source register as a substantive rule,Not applicable,Not applicable,Reviewed — no applicable UAS-specific source located,Not applicable,Executive orders; attorney general opinions; state court decisions; state UAS procurement/manufacturer/country-of-origin restrictions,Not applicable,Not applicable,Not applicable (negative finding),No,No,None identified in this pass,None identified in this pass; would become directly relevant to public-agency AEC contracts if a state UAS procurement/manufacturer restriction is later identified,"No currently effective Minnesota gubernatorial executive order specifically addressing UAS/drone operations was located in this pass. No Minnesota attorney general opinion directly addressing UAS was located. No Minnesota state appellate or supreme court decision directly construing a Minnesota UAS statute was located (this contrasts with the December 2025 Michigan Court of Claims decision addressing that state's UAS preemption statute, noted for comparison purposes at MN-008's notes field). No Minnesota statewide UAS procurement restriction, approved/prohibited-manufacturer list, or country-of-origin/component/cybersecurity restriction applicable to state-agency UAS purchases was located; Minnesota's general state IT/cybersecurity procurement framework was not researched in depth because no source was found expressly extending it to UAS, consistent with the project's scope gate.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,"Not applicable — negative research finding across multiple official sources including revisor.mn.gov (statutes, session laws), mn.gov/governor (executive orders), and ag.state.mn.us (attorney general opinions)",2026-08-02,Low,"Targeted keyword searches were run against the Minnesota Revisor's session-law and executive-order indices and general web searches for Minnesota attorney general UAS opinions and Minnesota state UAS procurement restrictions; no comprehensive line-by-line review of every historical executive order or AG opinion was performed, so this negative finding should be treated as provisional rather than exhaustive.","Recorded as the catch-all research-result row required by the current assignment; should be rechecked in a future currency pass, particularly for any new executive order, AG opinion, or procurement policy responding to the growing state legislative attention to UAS reflected in recent bill introductions (e.g., MN HF1396, HF1301, HF2406, none of which were confirmed enacted in this pass)."
