record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
MO-001,Missouri,MO,29,Missouri,State,Statewide,Missouri General Assembly,Unlawful use of unmanned aircraft over open-air facility / critical infrastructure,"RSMo 577.800 (L. 2020 H.B. 1963, A.L. 2026 H.B. 2637 & 3155 merged with S.B. 1421)",Binding law or regulation,"Aug. 28, 2020 (orig.); current merged text effective June 12, 2026 (H.B. 2637 & 3155); S.B. 1421 provisions effective July 9, 2026",2026-06-12,Current / in force,Binding,Open-air facility and critical-infrastructure UAS restriction,Any person operating a UAS,(1) Flight below 400 ft AGL within the property line of an open-air facility; (2) delivering a weapon/explosive or controlled substance to a person at an open-air facility; (3) any UAS use within the boundary of a critical infrastructure facility (no altitude threshold); or (4) flight below 400 ft AGL within the property line of a critical infrastructure facility in furtherance of a crime,"Prohibition (infraction, escalating to felony)","No (listed exemptions, not a permit)",No,High,High,"RSMo 577.800, as consolidated by the 2026 merged enactment (H.B. 2637 & H.B. 3155, merged with S.B. 1421; current codified text effective June 12, 2026), makes it an offense to purposely: (1) operate a UAS within 400 ft AGL and within the property line of an 'open-air facility' -- now defined as capacity 500+ (lowered from 5,000), not fully enclosed by a roof; (2) use a UAS to deliver a weapon/explosive device (Class B felony) or controlled substance (Class D felony) to a person there; (3) use a UAS at all within the boundary of a 'critical infrastructure facility' -- no altitude threshold applies to this prohibition; or (4) operate within 400 ft AGL and within the property line of a critical infrastructure facility in furtherance of any other criminal violation. 'Critical infrastructure facility' takes the definition in RSMo 569.086 -- an extensive list including electric power generation/substations/transmission, water and wastewater treatment, chemical/petroleum/gas facilities and pipelines, telecommunications infrastructure (including cell towers), ports/railroads, dams, broadband infrastructure, and CFATS-regulated sites, among others; note that 569.086's own amended, fuller list does not take effect until Aug. 28, 2026, so the cross-referenced definition is narrower between June 12 and Aug. 28, 2026. Exemptions cover facility employees/owners/operators; a person with written consent from the facility's president/CEO; law enforcement/fire/EMS and government employees on official duty; a public utility or rural electric cooperative conducting inspection/repair/maintenance (with advance facility notice and no unescorted entry); and a railroad employee on railroad-owned/operated land (new in the 2026 text). A separate, distinct exemption (subsection 6) covers a commercial operator lawfully authorized by the FAA to operate in that airspace. Each covered facility must post an 11x14-inch warning sign (new in the 2026 text). Punishable as an infraction generally, escalating as described above.","Treat any event venue with 500+ capacity, and any facility on the RSMo 569.086 critical-infrastructure list (power generation/substations, water/wastewater, chemical/petroleum, telecom and cell towers, pipelines, ports/rail, dams, broadband infrastructure, and CFATS-regulated sites, among others), as a no-fly zone by default for Missouri work -- as of the June 12, 2026 amendment, mere presence within a critical-infrastructure facility's boundary is itself prohibited, with no altitude threshold. For utility inspection work, give the facility advance notice as required by the utility exemption rather than assuming it is self-executing, and confirm the facility has posted the now-required 11x14-inch warning sign before treating a site as clearly marked.","Contact the protected facility's owner, operator, administrator, commander, or other official identified by the authority before mobilization and ask whether the proposed AEC mission qualifies for written approval or an employment/contractor exception. Provide the site, purpose, dates, flight area, crew and aircraft details the facility requests, and retain the signed authorization and security conditions; do not assume ordinary site access or a client work order is sufficient.",N/A — no procurement or equipment-selection implication identified,"The 2026 merged-bill amendment (H.B. 2637 & 3155 merged with S.B. 1421) is now confirmed reflected in the current codified text via a direct re-pull -- the prior research pass's concern about a site-update lag is resolved. Document the specific exemption relied upon (utility inspection, government duty, facility consent, or now also railroad-employee duty) for any flight near a covered venue or facility given the felony-level exposure for prohibited deliveries. Note the cross-referenced 'critical infrastructure facility' definition (RSMo 569.086) does not reach its full expanded list until Aug. 28, 2026, so the scope of covered facilities is narrower between June 12 and Aug. 28, 2026 than after.",https://revisor.mo.gov/main/OneSection.aspx?section=577.800,2026-08-06,High,"Full current codified text independently pulled directly from the Missouri Revisor of Statutes (revisor.mo.gov) on 2026-08-06, confirming the 2026 merged-bill amendment is fully reflected in the site's current text -- this resolves the prior research pass's flagged concern that the site might be lagging the June 2026 enactment. The cross-referenced critical-infrastructure-facility definition (RSMo 569.086) was also pulled directly; its own amended, expanded list has a later effective date (Aug. 28, 2026) than 577.800 itself (June 12, 2026), a real effective-date gap noted in the summary and legal-counsel field rather than glossed over.","Retrofit pass (2026-08-06): resolved the prior 'high-priority re-verification item' -- direct text confirms the lowered 500-person open-air-facility threshold, the new critical-infrastructure-facility boundary prohibition, the railroad-employee exemption, and the new mandatory-signage requirement, none of which were reflected in the pre-retrofit summary. Citation corrected to name all three merged 2026 acts (H.B. 2637 & 3155 merged with S.B. 1421) rather than H.B. 2637 alone. Separately, multiple 2026 secondary press sources (Jefferson City News-Tribune, KCTV5, KTTN, Missouri Independent) report that the same June 2026 public-safety act (H.B. 2637) also authorizes certified peace officers to take 'mitigation measures' against a drone posing an imminent public-safety threat or involved in criminal activity. This was NOT independently located in this pass -- the governor's own bill-summary page confirms H.B. 2637 enacted 94 new public-safety sections but does not itself enumerate section numbers, and the specific counter-UAS-mitigation section was not identified among them. Flagged unresolved for a follow-up pass rather than guessed at; see MO's research checklist."
MO-002,Missouri,MO,29,Missouri,State,Statewide - correctional facilities,Missouri General Assembly,"Correctional center, unlawful use of unmanned aircraft over",RSMo 217.850,Binding law or regulation,"Aug. 28, 2020 (L. 2020 H.B. 1963); no amendments found as of this pass",None since original 2020 enactment (confirmed via direct 2026 pull),Current / in force,Binding,Corrections facility restriction,Any person operating a UAS,"Operating a UAS within 400 ft over a correctional center's secure perimeter fence; allowing a UAS to make contact with the facility; or using a UAS to deliver a weapon, facilitate an escape, or deliver a controlled substance",Prohibition,No (listed exemptions),No,High near facilities,Moderate,"Makes it an offense to purposely operate a UAS within a vertical distance of 400 ft over a correctional center's secure perimeter fence, or to allow a UAS to make contact with the facility (including any person or object on the premises). 'Correctional center' is defined broadly to include state correctional centers (§217.010), private jails (§221.095), and county or municipal jails. Exemptions include facility-authorized operators, written consent from the chief administrative officer, law enforcement/fire/EMS and government employees on official duty, qualifying public utility/rural electric cooperative infrastructure work, a railroad employee on railroad-owned/operated land, and a person operating under and complying with an FAA waiver issued under 14 C.F.R. § 107.200. Punishable as an infraction generally, escalating to a class B felony for weapon delivery, a class C felony for facilitating an escape under §575.210, or a class D felony for controlled-substance delivery. Each correctional center must post an 11x14-inch warning sign.","Identify any state, private, county, or municipal correctional/jail facility near a project site during pre-flight planning and maintain the 400 ft vertical standoff by default unless the project specifically requires facility work, in which case get the chief administrative officer's written consent first.","Contact the protected facility's owner, operator, administrator, commander, or other official identified by the authority before mobilization and ask whether the proposed AEC mission qualifies for written approval or an employment/contractor exception. Provide the site, purpose, dates, flight area, crew and aircraft details the facility requests, and retain the signed authorization and security conditions; do not assume ordinary site access or a client work order is sufficient.",N/A — no procurement or equipment-selection implication identified,"Retain written consent documentation for any flight authorized near a correctional facility; the broad definition of 'correctional center' (reaching county and municipal jails, not just state prisons) means this statute applies more often than a quick check for 'state prison' alone would suggest. The offense escalates to a class C felony if the UAS is used to facilitate an escape (RSMo 575.210) and a class B felony for weapon delivery -- treat any flight activity a facility could plausibly read as escape-related as an acute risk requiring prior written coordination, not just routine site consent.",https://revisor.mo.gov/main/OneSection.aspx?section=217.850,2026-08-06,High,"Full current text independently re-pulled directly from the Missouri Revisor of Statutes (revisor.mo.gov) on 2026-08-06; confirms the statute is unamended since its 2020 enactment. This pass also corrected the effective_date field, which previously (incorrectly) attributed enactment to 'HB 324' -- the Revisor's own footnote names the enacting act as L. 2020 H.B. 1963.","Retrofit pass (2026-08-06): added two previously-omitted details confirmed in the direct text -- the class C felony tier for using a UAS to facilitate an escape (§575.210), and the FAA Part 107.200 waiver exemption -- and corrected the effective_date citation error (was 'HB 324', corrected to H.B. 1963 per the Revisor's own footnote)."
MO-003,Missouri,MO,29,Missouri,State,Statewide,"Missouri General Assembly (repeatedly introduced, never enacted)",'Preserving Freedom from Unwarranted Surveillance Act' — NOT current law,Proposed as RSMo 305.635–305.641 (HB 46 in 2013; HB 1204; HB 209 in 2025) — these section numbers do not exist in current Missouri statutes,"Repealed, expired, or superseded authority (never enacted)",N/A - never took effect,N/A,"Not law - reintroduced multiple sessions (2013, later sessions, 2025) without passing",None,Myth-busting: general drone surveillance-consent statute claim,N/A,N/A,N/A - widely repeated as if current law,N/A,No,High (risk of relying on bad information),High (risk of relying on bad information),"A bill titled the 'Preserving Freedom from Unwarranted Surveillance Act' would prohibit any person, entity, or state agency from using a drone to conduct surveillance or observation of an individual, their property, a farm, or agricultural industry without consent (absent a warrant). It has been introduced repeatedly since 2013 (HB 46, HB 1204, HB 209 in 2025) and has never passed. Some secondary sources describe or cite this as if it were current Missouri law; it is not.","Do not build a general Missouri drone-surveillance-consent or farm/agricultural-consent step into standard operating procedure based on this bill — it is not currently required by Missouri statute. Rely on the actual enacted statutes (open-air facility, correctional center) and ordinary privacy/trespass considerations instead.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Correct this specific point if it appears in any internal compliance document or client-facing guidance sourced from a drone-law aggregator; Missouri currently has no comprehensive UAS privacy/surveillance-consent statute analogous to those in some other states, which is itself a notable gap worth flagging to the client rather than asserting a nonexistent consent requirement.",https://house.mo.gov/billtracking/bills141/biltxt/intro/HB1204I.htm,2026-08-06,Moderate,"Bill history re-confirmed via LegiScan's house.mo.gov-sourced tracking page on 2026-08-06: HB 209 (2025) was introduced Jan. 8, 2025, had a public hearing Mar. 3, 2025, and died in the House Emerging Issues Committee without further action (25% progression) -- consistent with the pre-retrofit record. A search for a 2026-session successor bill found none; the 2026 session's major UAS legislative activity was H.B. 2637/3155/S.B. 1421 (critical-infrastructure focus, see MO-001), not a privacy/warrant bill.",Retained as an explicit myth-busting record given how easily a bill title like this could be mistaken for enacted law by someone skimming a secondary source. Retrofit pass (2026-08-06): re-confirmed still not enacted; no 2026 reintroduction found.
MO-004,Missouri,MO,29,Missouri,State,Statewide - government agencies,"Missouri General Assembly (bill died, 2025 session)",Unmanned Aerial Systems Security Act of 2025 — did not pass,Missouri HB 210 (2025),Proposed or pending authority (died in committee),N/A - never took effect,N/A,"Dead - introduced 1/8/2025, died 5/16/2025; not enacted",None,Government UAS procurement/manufacturer restriction,Would have applied to Missouri government agencies,Government purchase/use of UAS from manufacturers domiciled in a 'country of concern',N/A - not enacted,N/A,Yes (as drafted),Low currently,Low currently,"HB 210 would have prohibited Missouri government agencies from purchasing or using a UAS (or related services/equipment) from a manufacturer domiciled in a designated 'country of concern' (China, Russia, Iran, North Korea, Cuba, Venezuela's Maduro regime, or Syria, with the governor able to expand the list), required federally compliant encryption for drone communications, established a three-tier drone classification system, and included a Department of Public Safety replacement-grant program for affected agencies. The bill drew opposition from law enforcement and died in committee on May 16, 2025; it was not enacted.","No Missouri state procurement restriction currently limits fleet/manufacturer choice for private commercial work or for public-agency contract work, but track whether this bill (or a successor) is reintroduced in a future session, since similar bills have passed in other states.",N/A — no agency process involved,"Do not change current purchasing solely because of this noncurrent measure. Track successor legislation and current client solicitations before the next acquisition cycle, and preserve configuration and origin documentation so the fleet can be reassessed efficiently.","Do not represent to a client that Missouri has (or is about to have) a manufacturer-restriction law based on this bill; it failed and there is no guarantee a successor will pass. Separately confirm the federal American Security Drone Act / OMB M-26-02 restrictions (see MO-006) for any federally funded engagement, since those apply regardless of state law.",https://legiscan.com/MO/text/HB210/2025,2026-08-06,Moderate,"Bill status re-confirmed via LegiScan's house.mo.gov-sourced tracking page on 2026-08-06: HB 210 (2025) died in the House Emerging Issues Committee (25% progression), consistent with the pre-retrofit record. No 2026-session successor bill was found in this pass.",Retrofit pass (2026-08-06): re-confirmed died in committee; no 2026 reintroduction found.
MO-005,Missouri,MO,29,Missouri,State,Statewide (agency program),Missouri Department of Transportation (MoDOT),Unmanned Aerial Vehicle (UAV) Program,MoDOT internal program (Engineering Policy Guide Category 122 Aviation references),Official agency policy,Ongoing,Ongoing,Current,Binding on MoDOT operations; informative for consultants,State DOT UAS program and standards,"MoDOT staff and, potentially, consultants performing UAS work for MoDOT","MoDOT UAV operations for safety, emergency response, infrastructure management, and structural inspection","Internal operating program with manual, safety program, and training program",Internal to MoDOT; not a public permit,Primarily (MoDOT's own program),Moderate (relevant to consultants on MoDOT contracts),High for transportation-sector AEC work,"MoDOT operates a centralized UAV program (developed initially under its Safety Response Team) with its own operation manual, safety program, and training program, used for real-time aerial data collection, structural inspections, and incident-site monitoring. The program emphasizes centralized standards, responsible procurement, and federal-regulation compliance across all MoDOT UAV operations statewide.","For any consultant contract involving MoDOT-adjacent UAS work (bridge/structure inspection, corridor mapping, incident documentation), ask MoDOT for its current UAV operations manual and align field procedures with it, since a MoDOT project manager will likely expect consultant operations to mirror the agency's own standards.",N/A — no agency process involved,"Treat MoDOT's centralized standards as an early contract-discovery item, not as proof that a particular firm-owned platform is approved. Before pricing equipment or support, request the current operating manual and project requirements, then compare required aircraft, payload, data, safety, training, insurance, and lifecycle-support capabilities with the proposed fleet.","Confirm in the scope of work whether MoDOT's internal UAV standards (equipment, data handling, pilot qualifications) are being incorporated as contract requirements, and get any such incorporation in writing rather than relying on informal alignment.",https://www.modot.org/unmanned-aerial-vehicle-uav-program,2026-08-06,High,"Program page independently re-pulled directly from modot.org on 2026-08-06 (now presented as a 2025 Productivity Showcase entry); description of the operation manual, safety program, and training program matches the pre-retrofit summary. Program contact identified: Athena Sones, Central Office Safety and Emergency Management (Athena.Sones@modot.mo.gov, 573-645-5947).",Retrofit pass (2026-08-06): re-confirmed live and accurate; added program contact for follow-up.
MO-006,Missouri,MO,29,Missouri,State,"Statewide (agency notice, implementing federal law)",Missouri Department of Transportation (MoDOT),"New Federal Restrictions on Foreign Drones (effective Dec. 22, 2025) — MoDOT notice","MoDOT agency notice implementing the American Security Drone Act of 2023 (ASDA) and OMB Memorandum M-26-02 (federal authority, not Missouri state law)",Official agency policy (state agency notice of federal requirement),"Dec. 22, 2025 (federal effective date)",N/A,Current,Binding at the federal level for federally funded UAS procurement/use; MoDOT notice is informational/administrative for its own program and contractors,Federally funded UAS procurement restriction (foreign-manufacturer ban),"Entities using federal funds for UAS, including MoDOT and its contractors on federally funded projects","Procurement/use of UAS (including components: flight controller, camera, ground control station) from a covered foreign entity, specifically manufacturers based in or controlled by the People's Republic of China","Procurement prohibition (federal, administered through MoDOT for its programs)",No permit; compliance is an equipment-sourcing requirement,"No - applies to any recipient of the federal funds in question, which can include consultants on federally funded MoDOT contracts",High for federally funded transportation work,High for federally funded transportation work,"MoDOT published a notice explaining that, effective December 22, 2025, the federal American Security Drone Act of 2023 and OMB Memorandum M-26-02 prohibit using FHWA (Federal Highway Administration) funds for UAS manufactured by 'covered foreign entities' -- any aircraft, flight controller, camera, or ground control station from a manufacturer based in or controlled by the People's Republic of China (and other designated foreign-adversary countries). The notice directs recipients to stop new procurements, cease operating/maintaining/processing data from existing covered UAS on FHWA-funded work, and segregate/quarantine affected equipment to prevent accidental use on federally funded projects. This is a federal requirement specific to FHWA funding; MoDOT's notice serves to inform its programs and contractors of the obligation as it flows down through federally funded transportation work.","If your firm does UAS work on any federally funded MoDOT (or other Missouri agency) transportation project, audit your fleet against covered-foreign-entity status before mobilizing — this is a hard equipment-sourcing constraint, not a preference, and it applies at the component level (flight controller, camera, ground station), not just the airframe brand.",N/A — no agency process involved,"Before bidding public work, obtain vendor documentation for aircraft, critical components, installed software, ownership, and origin; compare it with current client solicitations and official lists. Do not assume the public-agency restriction automatically binds the AEC consultant.","Confirm whether a specific MoDOT task order is federally funded (versus 100% state-funded) before assuming ASDA/OMB M-26-02 applies, since the restriction is tied to the federal-funds nexus rather than being a general Missouri state law; document equipment compliance representations in the proposal for any federally funded scope.",https://www.modot.org/node/81272,2026-08-06,High,"Notice independently re-pulled directly from modot.org on 2026-08-06; content matches the pre-retrofit record. This pass narrowed the description from 'federal funds' generically to the specific FHWA program the notice addresses, per the source's own wording.",Retrofit pass (2026-08-06): re-confirmed live and accurate; narrowed 'federal funds' to FHWA-specific per source wording.
MO-007,Missouri,MO,29,Missouri,State,Missouri State Parks (DNR-managed land),"Missouri Department of Natural Resources, Division of State Parks",State park drone/UAS use policy — commercial approval process,Missouri State Parks laws and regulations (DNR Division of State Parks policy),Official agency policy / Permit or property-use requirement,Current as published,Unknown,Current,Binding as a property-use condition,State park UAS operation and commercial-use approval,UAS operators in Missouri State Parks,Recreational and commercial/professional drone flying in state parks,Permit/approval requirement for commercial use; recreational use limited to main day-use areas,"Yes, for professional/commercial use - approval through the Division of State Parks",No,High for park-sited work,High for park-sited work,"Missouri State Parks does not impose a blanket drone ban; recreational pilots are asked to stay within main, open day-use areas and avoid disturbing other visitors. Professional or commercial UAS use requires prior approval through the Division of State Parks before flying.","Start the Division of State Parks commercial-use approval process as early as possible for any project involving a Missouri state park (trail, facility, or resource-documentation work) - don't assume day-use-area recreational tolerance extends to commercial operations.","Start with the site manager or permitting office for Missouri Department of Natural Resources, Division of State Parks before scheduling fieldwork, because property-specific conditions may control the route and timing. Request the current form, lead time, fee, insurance and FAA-document checklist, and site restrictions, then keep the signed approval and conditions in the mission file.",N/A — no procurement or equipment-selection implication identified,"Get the Division of State Parks' commercial-use approval in writing and keep it in the project file; confirm current approval requirements directly with DNR, since this policy is described in agency/secondary summaries rather than a codified rule pulled directly in this pass.",https://mostateparks.com/page/laws-and-regulations,2026-08-06,High,"Page independently re-pulled directly from mostateparks.com on 2026-08-06; wording matches the pre-retrofit summary closely ('no laws prohibiting drones,' 'keep it to the main, open day-use areas,' and a 'process to go through' for professional/for-sale photo use). No codified rule text (separate from this guidance page) was located in this pass either.",Retrofit pass (2026-08-06): re-confirmed live and accurate directly from the primary agency page; confidence raised from Moderate to High.
MO-008,Missouri,MO,29,Missouri,State,"MDC conservation areas (1,000+ state-managed natural areas)",Missouri Department of Conservation (MDC),Conservation area UAS special use permit; Wildlife Code drone/hunting restrictions,"MDC conservation area regulations (special use permit); Wildlife Code of Missouri, 3 CSR 10-7.410 and related rules",Binding administrative regulation + Official agency policy,Current (2024 rule update reported for game-recovery provision),2024 (reported),Current,Binding,Conservation-area launch/landing restriction; wildlife harassment; hunting-related drone use,UAS operators on MDC conservation areas; hunters,"Launching/landing/operating a UAS on an MDC conservation area; using a UAS to pursue, take, drive, or harass wildlife; drone-assisted game recovery",Permit requirement (launch/land) + prohibition (wildlife harassment) with a narrow permitted exception (game recovery),"Yes - MDC special use permit required to launch, land, or operate a UAS on a conservation area (except conservation-agent-authorized wounded-game recovery)",No,High for conservation-area-sited work,High for conservation-area-sited work,"MDC requires a special use permit to launch, land, or operate a UAS on any of its 1,000+ conservation areas statewide. Separately, the Wildlife Code of Missouri (3 CSR 10-7.410 and related rules) forbids pursuing, taking, attempting to take, driving, or molesting wildlife from or with a motor-driven conveyance (air, land, or water), with a narrow exception allowing drone-assisted location/recovery of wounded black bear, deer, elk, or turkey: the operator must first obtain landowner/authorized-representative permission, and no person may possess or control a firearm, bow, or other implement capable of taking wildlife while afield during any period the drone is in flight.","Treat any MDC conservation area the same as a state park for launch/landing purposes - apply for the special use permit before staging a crew there for environmental monitoring, habitat mapping, or resource-inventory work, and build the permit lead time into project scheduling.","Start with the site manager or permitting office for Missouri Department of Conservation (MDC) before scheduling fieldwork, because property-specific conditions may control the route and timing. Request the current form, lead time, fee, insurance and FAA-document checklist, and site restrictions, then keep the signed approval and conditions in the mission file.",N/A — no procurement or equipment-selection implication identified,"Retain the MDC special use permit in the project file for any conservation-area launch/land activity; document flight altitude and purpose for work near wildlife concentrations, since the harassment standard in the Wildlife Code is judgment-based similarly to other states' wildlife-harassment rules.",https://mdc.mo.gov/discover-nature/activities/recreational-drone-flying,2026-08-06,High,Substance re-confirmed via MDC's own official recreational-drone-flying page and a secondary regulatory-text compilation (animallaw.info) on 2026-08-06; the wounded-game-recovery exception's no-weapon-while-afield condition was refined to match the source wording more precisely than the pre-retrofit summary. Full 3 CSR 10-7.410 regulatory text itself (as opposed to MDC's and a compiler's description of it) was still not independently pulled and re-parsed in this pass.,Retrofit pass (2026-08-06): refined wounded-game-recovery exception wording via MDC's own page; confidence raised from Moderate to High given direct agency-source confirmation.
MO-009,Missouri,MO,29,Missouri,State,Statewide,"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects (APELSLA)","Mapping Survey Standards — general licensing framework, no UAS-specific guidance located",20 CSR 2030-20.010 to 20 CSR 2030-20.030 (Mapping Survey Standards),Binding administrative regulation (general); no UAS-specific board guidance confirmed,N/A,N/A,Category reviewed - no UAS-specific board guidance document located,Binding (general survey-standards regulation),Professional licensing for UAS-derived survey/mapping products,Licensed professional engineers and land surveyors in Missouri,"Preparation and certification of survey/mapping products, regardless of data-collection method","Licensing (general, not UAS-specific)",Licensed PE or PLS involvement required for regulated mapping/survey deliverables,No,High,High,"APELSLA's Mapping Survey Standards (20 CSR 2030-20.010 to .030) govern survey/mapping practice generally; a licensee must practice only in fields in which they are fully competent by education/experience, which secondary sources note is 'especially applicable' to UAS-derived mapping. No standalone UAS-specific board brochure or guidance document was located in this research pass.","Route drone-derived photogrammetry/LiDAR mapping products through a Missouri-licensed PE or PLS for review under the existing Mapping Survey Standards before delivery on any official survey/engineering deliverable, the same as non-UAS-collected data.","Before relying on an unlicensed or exempt delivery path, give Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects (APELSLA) a written description of the proposed UAS-derived product, its stated accuracy, and whether it will establish or certify boundaries, elevations, or authoritative locations. Ask the board to confirm the applicable license, responsible-charge, certification, or exemption path and retain the response with the project quality plan; the research packet does not establish a UAS-specific turnaround time.",N/A — no procurement or equipment-selection implication identified,"Absent UAS-specific board guidance, rely on the general 20 CSR 2030-20 framework and the competency requirement, and document licensed-professional review in the QA/QC record; consider a direct inquiry to APELSLA if a project raises a novel UAS-derived-product certification question.",https://pr.mo.gov/apelsla.asp,2026-08-06,Low,"Re-searched on 2026-08-06; found no standalone UAS-specific APELSLA guidance document or board policy, consistent with the pre-retrofit finding. General board contact information was located (moapeplspla@pr.mo.gov, 573-751-0047) if a future pass wants to inquire directly rather than rely solely on published materials.",Retrofit pass (2026-08-06): re-confirmed no UAS-specific guidance found; added board contact for a possible direct-inquiry follow-up.
MO-010,Missouri,MO,29,Missouri,State,Statewide,N/A,"UAS-specific executive order — category reviewed, none found",N/A,Secondary commentary / not found,N/A,N/A,Category reviewed - no Missouri UAS-specific executive order located,N/A,Executive order,N/A,N/A,N/A,N/A,N/A,Low,Low,"No Missouri governor's executive order specifically addressing UAS was located in this research pass. The legislature, not the governor's office, has been the active branch on Missouri UAS policy (RSMo 577.800/217.850, HB 2637, HB 210).",No executive-order-driven requirement to track separately from the statutes already covered.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Absence of a located executive order is not confirmation none exists; note this as an open category if a specific project needs certainty on this point.,N/A,2026-08-06,Low,"Re-searched on 2026-08-06 in the course of researching the 2026 legislative session's UAS activity (H.B. 2637/3155/S.B. 1421); found continued confirmation that the legislature, not the governor's office, has driven Missouri UAS policy -- no executive order specific to UAS surfaced in this pass either. Absence of a located order remains not proof none exists.",Retrofit pass (2026-08-06): re-confirmed no UAS-specific executive order found.
