"record_id","state","state_abbr","state_fips","jurisdiction_name","jurisdiction_type","geographic_scope","issuing_authority","source_title","citation","source_type","effective_date","revision_date","status","binding_level","uas_topic","regulated_party","regulated_activity","requirement_type","permit_or_approval_required","public_agency_only","commercial_operator_relevance","aec_relevance","summary","practical_interpretation_aec_expert","practical_interpretation_agency_practitioner","practical_interpretation_uas_procurement_expert","practical_interpretation_legal_counsel","source_url","date_accessed","confidence_level","verification_status","notes"
"NV-001","Nevada","NV","32","Nevada","State","Statewide","Nevada Legislature","Lawfulness of flight and landing; liability for surface injury","Nev. Rev. Stat. §§ 493.020, 493.050-.060","Binding statute or regulation","2015-10-01","Current codification reviewed 2026-08-02","Current / in force","Binding","Low-altitude interference; landing consent; surface injury; liability","Aircraft owners, lessees, and operators, including UAV operators","Low-altitude flight, landing on another's property, and operation causing injury to persons or property beneath","Operational standard, property-consent rule, and civil-liability allocation","Property consent is required for a voluntary landing on another's land or water","No","High","High","Nevada treats a UAV as an aircraft for the Uniform State Law for Aeronautics. Flight over land or water is lawful unless it is so low that it interferes with the owner’s existing use, is imminently dangerous to persons or property below, or violates another provision of NRS 493.010-.120 or an implementing regulation. A voluntary landing on another’s land or water requires consent. For injuries caused by ascent, descent, flight, or a dropped object, the owner—and a lessee when applicable—is presumptively liable, subject to rebuttal; a nonowner operator is liable only for the operator’s own negligence.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text","The aircraft definition in NRS 493.020 expressly includes UAVs for NRS 493.010-.120. The liability provisions should be read with ordinary insurance and contract allocation."
"NV-002","Nevada","NV","32","Nevada","State","Statewide","Nevada Legislature","Dangerous, intoxicated, careless, or reckless UAV operation; federal credentials","Nev. Rev. Stat. §§ 493.100, 493.130-.160, 493.200","Binding statute or regulation","2015-10-01","Current codification reviewed 2026-08-02","Current / in force","Binding","Operational safety; populated areas; public gatherings; intoxication; federal credentials","Aircraft and UAV operators","Dangerous low flight, reckless object dropping, intoxicated or careless operation, and operation without federally required credentials","Criminal prohibitions and credential requirement","No separate state permit; any certificate, permit, rating, or license required by federal law must be effective","No","High","High","NRS 493.100 makes dangerous conduct over a heavily populated area or public gathering a misdemeanor, including low flight that endangers people and dropping an object with reckless disregard and willful indifference. NRS 493.130 separately makes intoxicated or careless or reckless aircraft operation that endangers life or property a gross misdemeanor and expressly includes UAVs; courts consider federal safe-operation standards when applying that rule. Nevada also requires any federally required aircraft certificate and operator certificate, permit, rating, or license. The park-specific exception to the acrobatic-flight clause does not excuse reckless operation or override a park’s separate drone restriction.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text","NRS 493.100's populated-area/public-gathering rule and NRS 493.130's broader reckless-operation rule have different elements and penalties."
"NV-003","Nevada","NV","32","Nevada","State","Statewide private and occupied real property","Nevada Legislature","UAV trespass action and registered-business or land-surveyor exception","Nev. Rev. Stat. § 493.103","Binding statute or regulation","2015-10-01","Current codification reviewed 2026-08-02","Current / in force","Binding","Trespass; low-altitude overflight; notice; registered business; land surveying","UAV owners and operators","Repeated flight below 250 feet over property after notice that the flight is unauthorized","Civil cause of action with specified exceptions","No state permit; landowner authorization or satisfaction of a statutory exception may defeat this specific claim","No","High","High","A Nevada property owner or lawful occupant may sue a UAV owner or operator for trespass when the aircraft flies below 250 feet over the property after at least one prior below-250-foot flight and after the operator has been notified that such flight is unauthorized. The action is unavailable for airport flight-path, takeoff, landing, compliant government, and certain commercial operations. A business registered in Nevada or a land surveyor qualifies for the commercial exception only when the operator has FAA authority, the flight is within lawful business or surveying activity, and it does not unreasonably interfere with the property’s existing use. Available relief includes treble injury damages and potentially fees, costs, and an injunction.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text","The commercial exception defeats this statutory trespass action only when every listed condition is met; it is not blanket permission to enter land, launch, land, or disregard other privacy or tort law."
"NV-004","Nevada","NV","32","Nevada","State","Statewide near defined critical facilities and public-use airports","Nevada Legislature","UAV operation near critical facilities and within five miles of airports","Nev. Rev. Stat. §§ 493.020(2), 493.109","Binding statute or regulation","2015-10-01","Critical-facility definition amended 2017; current codification reviewed 2026-08-02","Current / in force","Binding","Critical infrastructure; airport proximity; written consent; carried documentation","Any UAV operator","Operation within specified distances of a critical facility or public-use airport","Criminal prohibition with consent or FAA-authorization exceptions","Yes — written critical-facility owner consent; and within five miles of an airport, airport consent or an applicable FAA waiver, exemption, or other authorization","No","High","High","Nevada prohibits UAV operation within 500 horizontal feet or 250 vertical feet of a defined critical facility without the facility owner’s written consent. Covered sites include many energy, chemical, pipeline, water and wastewater, mining, electric-transmission, detention, prison, and corrections facilities, excluding underground utility infrastructure. Operation within five miles of a qualifying public-use airport requires consent from the airport authority or operator unless the operator has an applicable FAA waiver, exemption, or other authorization. The operator must carry the supporting documentation throughout the operation. A violation is a misdemeanor, so both site classification and the operative airport authorization should be documented before flight.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text","Nevada's five-mile provision remains in the current code even though federal recreational-notification rules changed. The statute itself recognizes FAA waiver, exemption, or other authorization as an alternative to airport consent."
"NV-005","Nevada","NV","32","Nevada","State","Statewide","Nevada Legislature","Weaponization of unmanned aerial vehicles prohibited","Nev. Rev. Stat. § 493.106","Binding statute or regulation","2015-10-01","Current codification reviewed 2026-08-02","Current / in force","Binding","Weaponization; payloads; criminal penalties","Any person","Weaponizing a UAV, operating a weaponized UAV, or discharging its weapon","Criminal prohibition","No exception or state approval pathway stated","No","Moderate","Moderate","Nevada prohibits both weaponizing an unmanned aerial vehicle and operating a weaponized unmanned aerial vehicle. Either act is a category D felony. A person who weaponizes a UAV in violation of the statute and discharges the weapon commits a category C felony. The section states no permitting exception. Commercial teams should therefore scrutinize unusual payloads, release mechanisms, deterrent devices, and client-requested attachments before deployment rather than assuming that a nonfirearm device falls outside the prohibition; the statute itself does not define the word “weaponize,” so characterization can be fact sensitive.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text","Ordinary mapping and inspection sensors are not described as weapons, but ambiguous payloads should be analyzed before procurement or use."
"NV-006","Nevada","NV","32","Nevada law enforcement agencies","State and political-subdivision agencies","Statewide law-enforcement UAV operations","Nevada Legislature","Law-enforcement UAV warrants, exceptions, evidence limits, and equipment restrictions","Nev. Rev. Stat. § 493.112","Binding statute or regulation","2015-10-01","Amended by S.B. 11, 2023; procurement provisions effective 2025-01-01","Current / in force","Binding","Law enforcement; warrants; privacy; emergency use; evidence; procurement","Nevada law-enforcement agencies and potentially contractors acting as their operators","Gathering evidence or information by UAV and operating, purchasing, or acquiring covered systems or services","Warrant requirement, enumerated exceptions, exclusion rule, and equipment restriction","Judicial warrant required for covered surveillance unless a statutory exception applies","Yes — law-enforcement agencies","Moderate when serving law enforcement","Moderate","A Nevada law-enforcement agency generally needs a warrant, limited to no more than 10 days unless renewed, to gather evidence or information by UAV within a residence’s curtilage or another place where a person has a reasonable expectation of privacy. Exceptions cover specified exigencies, detailed written consent, search and rescue, documented imminent threats, and declared emergencies or disasters subject to geographic and purpose limits. Information obtained contrary to the section is inadmissible and cannot support reasonable suspicion or probable cause. Law-enforcement agencies also must comply with the Department of Public Safety’s current equipment and service restrictions, subject to the statutory treatment of pre-effective-date acquisitions.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text and S.B. 11 history","The statute is directed to agencies. A commercial operator supporting an agency should establish whether the mission is agency operation and which party owns warrant, consent, documentation, and data-handling responsibilities."
"NV-007","Nevada","NV","32","Nevada public agencies","State and political-subdivision agencies","Statewide public-agency UAV operations","Nevada Legislature and Nevada Department of Public Safety","Public-agency UAV registration, authorized purposes, and use limitations","Nev. Rev. Stat. §§ 493.115-.118; Nev. Admin. Code § 493.100; LCB File R111-23","Binding statute or regulation","2015-10-01","R111-23 filed 2024-12-19; current statute reviewed 2026-08-02","Current / in force","Binding","Public agencies; registration; surveying; mapping; infrastructure; inspections; data limits","Nevada public agencies other than law-enforcement agencies","Operating a public-agency UAV and conducting authorized public-purpose missions","Registration and purpose limitations; prohibited law-enforcement assistance; inspection-data restriction","Yes — the agency must register each UAV with DPS before operation and operate within authorized public purposes","Yes","High when performing work for a public agency","High","A Nevada public agency may operate a UAV only after registering it with the Department of Public Safety and in accordance with DPS regulations. Authorized purposes include surveying and mapping, inspection of public land and infrastructure, natural-resource and environmental evaluation, hazardous-material inspection, emergency functions, research, training, and other listed public uses. A public agency may not use its UAV to assist law enforcement or conduct a criminal prosecution. Scheduled building- or fire-code inspection is authorized, but the agency may not collect photographs, images, or recordings during that inspection, and improperly collected material is restricted. The registration submission identifies the agency, aircraft, operators, and intended use.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.dps.nv.gov/uav-registration/","2026-08-02","High","Verified against current official statutes, NAC 493.100, approved R111-23, and DPS registration page","The official NAC webpage still labels Chapter 493 as revised 2017; approved R111-23 supplies the later building/fire-inspection amendment. Clarify whether a contractor-owned aircraft flown for an agency will be treated as an aircraft the agency operates."
"NV-008","Nevada","NV","32","Nevada public and law-enforcement agencies","State and political-subdivision agencies","Statewide public-sector procurement and operation","Nevada Legislature and Nevada Department of Public Safety","Restricted UAS vendors, equipment, and services for public agencies","Nev. Rev. Stat. §§ 493.112(5), 493.115(3), 493.118(6)-(10); LCB File R111-23","Binding statute or regulation","2025-01-01","A.B. 439 effective 2025-07-01; S.B. 12 organizational amendment effective 2025-07-01","Current / in force","Binding","Procurement; prohibited vendors; cybersecurity; data residency; public-sector fleets","Nevada public agencies and law-enforcement agencies","Operating, purchasing, or acquiring UAS, related equipment, or services","Procurement and operation restriction with grandfathering and current statutory exception","No permit; agency determinations and statutory conditions apply","Yes","High for public-sector contracts and equipment or service offerings","High","Nevada public and law-enforcement agencies may not operate, purchase, or acquire UAS, related equipment, or services contrary to DPS restrictions. The statutory lists incorporate specified Department of Defense entities and their products, Nevada technology-office prohibitions, and other DPS determinations; pre-January 1, 2025 acquisitions have a statutory operating grandfather. Effective July 1, 2025, an agency may acquire from a business or entity otherwise on the vendor list if related information is stored and maintained exclusively in the United States, inaccessible to third parties, the agency determines the vendor’s policies comply, and federal requirements—including funding restrictions—are met. U.S.-manufactured systems are encouraged where procurement law allows.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/NRS/NRS-493.html","2026-08-02","High","Verified against current official NRS text, approved R111-23, A.B. 439, and S.B. 12","The 2025 exception addresses acquisition from an otherwise listed business or entity; it should not be read as automatically overriding separate product, technology-office, federal-funding, or DPS restrictions."
"NV-009","Nevada","NV","32","Nevada State Parks","State agency property","Nevada State Parks","Nevada Division of State Parks","State Parks drone prohibition and special-use permit exception","Nevada State Parks FAQ; related Nev. Admin. Code §§ 407.050, 407.125","Official agency policy","","Current agency guidance reviewed 2026-08-02","Current agency policy","Official property-manager policy; related NAC provisions are binding","State parks; designated areas; special-use permits; commercial photography","Any person operating a drone in a Nevada State Park","Drone operation, takeoff or landing, and photography or filming in state parks","Property prohibition with designated-area or special-use-permit exception","Yes — park-supervisor designation or special-use permit for unmanned-aircraft use; additional photography permitting may apply","No","High","High","Nevada State Parks states that drone use is prohibited unless the park supervisor has designated an area for that use or the operator receives a special-use permit for unmanned-aircraft use; FAA rules continue to apply. The agency position aligns with NAC 407.125, which bars aircraft takeoff or landing from park land or water not specifically approved by the park supervisor, and with the Division’s permit authority. A commercial imagery project may also trigger the separate photography-permit framework based on its commercial nature, equipment, personnel, resource impacts, access needs, or closure requirements. Project teams should obtain park-specific written direction because designation and permit conditions can vary.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://parks.nv.gov/about/frequently-asked-questions","2026-08-02","High","Verified against current official State Parks FAQ, current NAC Chapter 407, and official photography-permit materials","The FAQ states the UAS rule directly. Valley of Fire separately states that drones require an approved photography permit. The statewide FAQ is used as the controlling agency-wide source here."
"NV-010","Nevada","NV","32","Nevada","State","Statewide commercial pesticide application","Nevada State Department of Agriculture","UAV aerial-pesticide applicator licensing and pilot qualifications","Nev. Admin. Code §§ 555.280, 555.283, 555.380","Binding statute or regulation","2022-12-29","NAC Chapter 555 revised 2024-08; reviewed 2026-08-02","Current / in force","Binding","Pesticide application; aerial category; commercial licensing; remote-pilot certificate","Commercial pesticide businesses, applicators, and aerial operators","Applying pesticides by unmanned aerial vehicle","State business/applicator licensing and operator qualification","Yes — applicable Nevada pest-control licenses and examinations; UAV aerial operator must hold an appropriate FAA remote-pilot certificate","No","High for treatment missions; low for imaging-only missions","Moderate","Nevada classifies use of an aircraft, expressly including a UAV, to apply pesticides on water, rangeland, crops, forest, idle cropland, and associated noncropland as the aerial field of commercial pest control. A commercial applicator must apply for the appropriate field and category and pass the required examinations. An operator, including an aerial operator, must prove examination completion and employment by a Nevada-licensed pest-control business. When the application aircraft is a UAV, the aerial operator must hold a remote-pilot certificate with the appropriate UAS rating under Part 107. These rules are additional to pesticide-label, business-license, and applicable federal agricultural-aircraft requirements.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://www.leg.state.nv.us/Nac/NAC-555.html","2026-08-02","High","Verified against current official NAC text","This record applies to pesticide application, not ordinary mapping, inspection, or vegetation imagery. Confirm the exact pesticide category and any project-specific permits before treatment."
