record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
PA-001,Pennsylvania,PA,42,Pennsylvania,State,Statewide,Pennsylvania General Assembly,Unlawful use of unmanned aircraft,18 Pa.C.S. § 3505 (enacted by Act 78 of 2018),Binding law or regulation,2018 (Act 78),Unknown,Current / in force,Binding,"Privacy/surveillance, bodily-injury-fear conduct, and contraband delivery (incl. to correctional/detention facilities)",Any person operating a UAS,Surveillance of a person in a private place; operation placing another in reasonable fear of bodily injury; delivery of contraband,Prohibition (summary offense / felony),No,No,High,High,"Makes it a crime to use a UAS intentionally or knowingly to: (1) conduct surveillance of another person in a 'private place' (a place where a person has a reasonable expectation of privacy) — summary offense, up to $300 fine; (2) operate in a manner placing another person in reasonable fear of bodily injury — summary offense; or (3) deliver, provide, transmit, or furnish contraband in violation of 18 Pa.C.S. §5123 or 61 Pa.C.S. §5902 (which cover contraband into a correctional or mental health institution and county/municipal detention facilities) — felony of the second degree. 'Surveillance' is defined as using a UAS to observe, record, or invade the privacy of another.","Standard survey/mapping/inspection flight paths over commercial, industrial, or public infrastructure sites are unlikely to implicate the 'private place' surveillance provision, but keep camera angles and loiter time away from residential yards, windows, and other areas with an expectation of privacy during any corridor or site-documentation flight. Route flight paths to keep clear standoff from any correctional or detention facility given the felony-level contraband-delivery provision, even though delivery isn't the intent — proximity alone can raise questions worth avoiding.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Because 'private place' and 'reasonable fear of bodily injury' are judgment-based standards with only a $300 summary penalty for the first two prongs, the practical legal risk is lower than in states with felony-level general surveillance statutes — but document flight purpose and altitude near residential areas as a matter of good practice. Treat the correctional/detention-facility contraband provision as a bright line requiring advance coordination for any project genuinely needing to fly near such a facility.",https://law.justia.com/codes/pennsylvania/2020/title-18/chapter-35/section-3505/,2026-08-01,High,Verified via direct statutory text as reproduced by Justia/FindLaw; recommend a direct pull from the Pennsylvania General Assembly's official site for a client-facing citation,
PA-002,Pennsylvania,PA,42,Pennsylvania,State,Statewide,Pennsylvania General Assembly,Preemption of local unmanned aircraft regulation,53 Pa.C.S. § 305 (added by Act 78 of 2018),Binding law or regulation,2018,Unknown,Current / in force,Binding,State preemption of local UAS ordinances,"Municipalities; indirectly, UAS operators statewide",Local regulation of UAS ownership or operation,Preemption,No,No,High,High,"Provides that 18 Pa.C.S. §3505 preempts and supersedes any municipal ordinance, resolution, rule, or other enactment regulating the ownership or operation of UAS; as of the section's effective date, a municipality may not regulate UAS ownership or operation unless expressly authorized by statute. A narrow carve-out permits a municipality to operate its own UAS for municipal purposes and to regulate that specific municipal use, and municipalities may still regulate takeoff/landing on municipally owned property.","Pennsylvania's broad state preemption of UAS-operation ordinances means the primary statewide compliance obligation is §3505 itself rather than a patchwork of city/county drone rules — the one exception to watch for is takeoff/landing on municipally owned property, which local governments can still condition or restrict.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Cite §3505 as the controlling statute rather than any local ordinance if a municipal drone rule is raised during a project — the preemption is broad, though local takeoff/landing conditions on municipal property remain a live issue to check per site (local ordinance research itself is out of scope for this phase per current research instructions).",https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2018&sessInd=0&act=78,2026-08-01,High,Verified via direct statutory summary from Act 78 text and cross-checked secondary legal sources,
PA-003,Pennsylvania,PA,42,Pennsylvania,State,Statewide,"Pennsylvania Department of Transportation (PennDOT), Bureau of Aviation",UAS/Drone registration and operating guidance — no separate PA state registration,N/A (agency web guidance),Advisory guidance,Current as maintained,Ongoing,Current,Nonbinding (pointer to FAA requirement and PA statute),Registration and general operating guidance,UAS operators in Pennsylvania,Registration; general safe-operation practices,"Informational, pointing to FAA registration",FAA registration only — no separate Pennsylvania state UAS registration was found,No,Moderate,Moderate,"Despite being titled 'Register an Unmanned Aircraft System/Drone,' PennDOT's page confirms that registration is with the FAA (drones between 0.55 and 55 lbs), not a separate Pennsylvania state registry — the state page functions as a pointer/portal to the federal FAA DroneZone system and to PA UAS law (§3505), plus general safety courtesies (e.g., coordinate with airports within 1 mile).",Do not budget time or a fee for a separate Pennsylvania state drone registration — confirm current FAA Part 107/DroneZone registration is in order and that satisfies the state page's requirement.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Correct any internal assumption that Pennsylvania has its own state UAS registry distinct from the FAA's; the PennDOT page title is easy to misread as implying a state-specific registration requirement when it is not.,https://www.pa.gov/services/penndot/register-an-unmanned-aircraft-system-drone,2026-08-01,High,Verified directly from PennDOT's own current webpage,
PA-004,Pennsylvania,PA,42,Pennsylvania,State,"Statewide, incl. State Game Lands",Pennsylvania Game Commission,"Drone use to locate, drive, harass, or take game or wildlife",34 Pa.C.S. § 2308; implementing regulations at 58 Pa. Code Ch. 141,Binding law or regulation,Current,Unknown,Current,Binding,Wildlife/hunting UAS restriction,Hunters; UAS operators,"Using a drone to locate, drive, harass, or take game or wildlife, including recovery of downed/wounded game",Prohibition,No,No,Low-Moderate,Moderate (context for State Game Lands work),"Prohibits using a drone to locate, drive, harass, or take any game or wildlife. The Game Commission interprets this to cover tracking or recovery of wounded or downed deer as part of the act of hunting — drone-assisted deer recovery is currently not legal in Pennsylvania, and hunters have been cited (fines up to $2,500, potential loss of hunting privileges) for using drones this way. Senate Bill 303 (2025-2026 session) would carve out a recovery exception but has not been enacted.","For environmental-monitoring, habitat-mapping, or corridor-survey flights on or near State Game Lands, plan flight paths and altitude to avoid any appearance of pursuing, driving, or harassing wildlife — steady survey-pattern flights at planned altitude are the safest posture, and avoid any recovery-adjacent framing in field communications given how strictly the Commission has enforced the recovery interpretation.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document flight purpose (survey/mapping, not wildlife-related) for any AEC work on State Game Lands, and monitor SB 303's status since a recovery exception would not by itself broaden this statute's application to commercial survey work, which was never within its scope.",https://www.pacodeandbulletin.gov/Display/pacode?file=%2Fsecure%2Fpacode%2Fdata%2F058%2FpartIIItoc.html&d=,2026-08-01,Moderate,Statute/regulation citation and enforcement practice confirmed via secondary legal-summary sources; full 58 Pa. Code Ch. 141 text not independently re-parsed in this pass,
PA-005,Pennsylvania,PA,42,Pennsylvania,State,PA State Parks (124 parks),PA Department of Conservation and Natural Resources (DCNR),Unmanned Aerial Systems and Drones — State Park rule,"DCNR State Park Rules and Regulations, 17 Pa. Code (State Parks)",Binding administrative regulation,Current,Unknown,Current,Binding,State park UAS launch/landing/operation — default prohibition,UAS operators in PA State Parks,"Launching, landing, or operating a UAS in a state park",Prohibition with designated-site exception and special activities agreement pathway,Yes for locations outside the six pre-designated flying sites — special activities agreement required,No,High for park-sited work,High for park-sited work,"DCNR enforces a default ban on launching, landing, or operating a UAS within Pennsylvania's 124 state parks absent a special activities agreement, except at six pre-authorized designated flying sites (Beltzville, Benjamin Rush, Hillman, Lackawanna, Prompton, and Tuscarora State Parks). Benjamin Rush State Park (Philadelphia) is the only dedicated drone site inside the city.","Assume any Pennsylvania state park project requires a special activities agreement unless the site is one of the six designated flying parks — build that approval process into project timelines early, since this is a default-prohibition regime, not a default-permission one like DCNR's own state forests.","Contact the official or office designated by the cited authority before fixing mobilization dates. Request the current form, documentation checklist, fees, submission route, and processing estimate; retain the issued approval and all site-specific conditions with the flight record.",N/A — no procurement or equipment-selection implication identified,Retain the special activities agreement in the project file before any state park flight outside the six designated sites; do not treat the existence of designated sites elsewhere in the state park system as authorization for a different park.,https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-parks/rules-and-regulations/unmanned-aerial-systems-and-drones,2026-08-01,High,Verified via DCNR's own published rule page and cross-checked secondary summaries listing the six designated sites,
PA-006,Pennsylvania,PA,42,Pennsylvania,State,"PA State Forests (2.2 million acres, 20 districts)",PA Department of Conservation and Natural Resources (DCNR),Use of UAS/Drones — State Forest rule,DCNR State Forest Rules and Regulations,Binding administrative regulation,Current,Unknown,Current,Binding,State forest UAS operation — generally permitted,UAS operators in PA State Forests,Operating a UAS on state forest land,"Generally permitted, subject to general forest-use rules",No blanket permit requirement identified for general operation (verify for any commercial-specific condition),No,High for forest-sited work,High for forest-sited work,"Unlike the state park default prohibition, DCNR's state forest rule generally allows drone operation on Pennsylvania's 2.2 million acres of state forest land across 20 forest districts, including Michaux, Rothrock, Tioga, Susquehannock, and Sproul state forests.","State forest land is a comparatively easier launch/land environment than state parks for timber, environmental-monitoring, or corridor-survey work — but confirm current district-level conditions directly with DCNR before mobilizing, since 'generally permitted' can still carry site-specific conditions (e.g., during active timber harvest or wildfire operations).",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Even where operation is generally permitted, document any DCNR district contact or confirmation obtained before a specific state-forest flight, since 'generally permitted' is not the same as an unconditional right and district-level restrictions could apply.",https://www.dcnr.pa.gov/StateForests/RulesAndRegulations/UseOfUAS/Drones/Pages/default.aspx,2026-08-01,Moderate,Confirmed via DCNR-adjacent secondary summary; primary DCNR state forest rule page content not independently re-parsed line by line in this pass,
PA-007,Pennsylvania,PA,42,Pennsylvania,State,Statewide,"PA State Registration Board for Professional Engineers, Land Surveyors and Geologists",Competency and photogrammetry-as-accepted-method framework — no standalone UAS guidance located,63 P.S. § 149 and related licensure statute; Board practice rules,Binding general licensing statute; no UAS-specific board guidance confirmed,N/A,N/A,Category reviewed - no UAS-specific board guidance document located,Binding (general licensure/competency requirement),Professional licensing for UAS-derived survey/mapping products,Licensed professional engineers and land surveyors in Pennsylvania,"Practicing engineering or land surveying, including UAS-based mapping","Licensing (general, applies regardless of data-collection method)","Licensed PE or PLS practicing only within their competency, required for regulated survey/mapping work",No,High,High,"A PE or PLS licensed under the Pennsylvania code must practice and perform work only in fields in which they are, by education and/or experience, fully competent and proficient — a requirement secondary sources describe as 'especially applicable' to UAS technology used in mapping. Photogrammetry is recognized as an accepted measurement method for engineering land surveys under Pennsylvania law. No standalone UAS-specific Board guidance document was located, though Board-accepted continuing-education courses on small UAS and aerial photogrammetry for land surveyors exist.","Route drone-derived photogrammetry/LiDAR products through a Pennsylvania-licensed PE or PLS with demonstrated UAS competency (e.g., relevant continuing-education credit) before delivery on any official survey/engineering deliverable.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Absent UAS-specific Board guidance, rely on the general competency requirement and document the reviewing licensee's relevant training/experience in the project QA/QC record — this creates a defensible paper trail if the competency of a specific deliverable is ever questioned.",https://www.pa.gov/agencies/dos/department-and-offices/bpoa/boards-commissions/engineers-land-surveyors-geologists,2026-08-01,Low,"Category reviewed; general statute and competency requirement confirmed via secondary sources, no standalone UAS-specific Board guidance document located",
PA-008,Pennsylvania,PA,42,Pennsylvania,State,Statewide,Pennsylvania Emergency Management Agency (PEMA),Public safety advisory on drone interference with emergency response,PEMA public safety messaging/advisory (no codified PEMA rule identified),Advisory guidance,Ongoing,Unknown,Current,Nonbinding advisory (general no-interference obligation is separately reflected in PennDOT operating guidance and FAA rules),Emergency-scene UAS interference,UAS operators (general public and commercial),Flying near active emergency response scenes,Advisory / safety messaging,No,No,Moderate,Moderate for emergency damage-documentation work,"PEMA, together with State Police and PennDOT, has publicly emphasized that official emergency response activities take priority over drone use near an incident scene, and has warned that drones can interfere with emergency helicopters and delay response. This is public-safety messaging rather than a codified PEMA rule; the operative 'do not interfere with emergency response activities' obligation is stated in PennDOT's UAS operating guidance and is also a general FAA expectation.","For any emergency/disaster-damage-documentation flight in Pennsylvania, coordinate with the incident commander or PEMA/local emergency management before flying, and treat 'we didn't intend to interfere' as an insufficient justification if a helicopter or ground response is anywhere in the vicinity.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Because this is advisory messaging rather than a specific statute, the operative legal hook for interference is more likely to be TFR violations, FAA enforcement, or general obstruction concepts than a dedicated PA interference statute — document airspace/TFR checks before any fire- or emergency-adjacent flight as the primary compliance record.",https://www.pa.gov/agencies/ready/drones,2026-08-01,Moderate,PEMA messaging confirmed via press coverage and PA.gov Ready PA page; no codified PEMA-specific UAS rule was located,
PA-009,Pennsylvania,PA,42,Pennsylvania,State,Statewide,N/A,"State UAS manufacturer/procurement restriction — category reviewed, none found",N/A,Secondary commentary / not found,N/A,N/A,Category reviewed - no Pennsylvania-specific state procurement/manufacturer restriction statute located,N/A,Government UAS procurement restriction,N/A,N/A,N/A,N/A,N/A,Low,Low,"No Pennsylvania state law or executive order specifically restricting government purchase/use of UAS by manufacturer or country of origin was located. Pennsylvania state agencies are subject to the federal American Security Drone Act / OMB Memorandum M-26-02 restrictions on federally funded UAS procurement, which is a federal action, not a state one.","No state-level equipment restriction currently constrains fleet choice for private commercial work in Pennsylvania; for federally funded state-agency contract work, confirm current federal covered-foreign-entity compliance separately.",N/A — no agency process involved,"No current state equipment restriction is established by this research result. Do not treat that absence as permanent; check current solicitation terms, client policies, and independently applicable federal restrictions before committing a fleet to the work.",Do not represent to a client that Pennsylvania has its own manufacturer-restriction law; note the federal overlay for any federally funded engagement.,N/A,2026-08-01,Low,Category reviewed; absence of a located rule is not proof none exists,
PA-010,Pennsylvania,PA,42,Pennsylvania,State,Statewide,N/A,"UAS-specific executive order, court decisions, and Attorney General opinions — categories reviewed, none found",N/A,Secondary commentary / not found,N/A,N/A,"Categories reviewed - no Pennsylvania governor's executive order, state appellate court decision, or Attorney General opinion directly involving UAS regulation was located",N/A,Executive orders; court decisions; AG opinions,N/A,N/A,N/A,N/A,N/A,Low,Low,"No Pennsylvania governor's executive order specifically addressing UAS, no state appellate (including Commonwealth Court) decision directly interpreting a UAS statute, and no Attorney General opinion directly involving UAS were located in this research pass. The Pennsylvania General Assembly (via Act 78 of 2018) has been the primary source of Pennsylvania UAS-specific law.",No executive-order- or case-law-driven requirement to track separately from the statutes already covered.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,The absence of appellate interpretation of §3505's 'private place' and 'reasonable fear of bodily injury' standards leaves some residual uncertainty in edge cases; a conservative operational buffer around clearly private areas is the more defensible posture until case law develops.,N/A,2026-08-01,Low,Categories reviewed; absence of a located order/decision/opinion is not proof none exists,
