record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
NV-001,Nevada,NV,32,Nevada,State,Statewide,Nevada Legislature,Lawfulness of flight and landing; liability for surface injury,"Nev. Rev. Stat. §§ 493.020, 493.050-.060",Binding statute or regulation,2015-10-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Low-altitude interference; landing consent; surface injury; liability,"Aircraft owners, lessees, and operators, including UAV operators","Low-altitude flight, landing on another's property, and operation causing injury to persons or property beneath","Operational standard, property-consent rule, and civil-liability allocation",Property consent is required for a voluntary landing on another's land or water,No,High,High,"Nevada treats a UAV as an aircraft for the Uniform State Law for Aeronautics. Flight over land or water is lawful unless it is so low that it interferes with the owner’s existing use, is imminently dangerous to persons or property below, or violates another provision of NRS 493.010-.120 or an implementing regulation. A voluntary landing on another’s land or water requires consent. For injuries caused by ascent, descent, flight, or a dropped object, the owner—and a lessee when applicable—is presumptively liable, subject to rebuttal; a nonowner operator is liable only for the operator’s own negligence.","Treat the applicable written consent or authorization under Nev. Rev. Stat. §§ 493.020, 493.050-.060 as a pre-mobilization gate and ensure it covers the site, dates, aircraft, crew, payload, and purpose. Do not lock the field schedule until the approving person and any notice, boundary, insurance, or operating conditions are documented.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nev. Rev. Stat. §§ 493.020, 493.050-.060; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text,The aircraft definition in NRS 493.020 expressly includes UAVs for NRS 493.010-.120. The liability provisions should be read with ordinary insurance and contract allocation.
NV-002,Nevada,NV,32,Nevada,State,Statewide,Nevada Legislature,"Dangerous, intoxicated, careless, or reckless UAV operation; federal credentials","Nev. Rev. Stat. §§ 493.100, 493.130-.160, 493.200",Binding statute or regulation,2015-10-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Operational safety; populated areas; public gatherings; intoxication; federal credentials,Aircraft and UAV operators,"Dangerous low flight, reckless object dropping, intoxicated or careless operation, and operation without federally required credentials",Criminal prohibitions and credential requirement,"No separate state permit; any certificate, permit, rating, or license required by federal law must be effective",No,High,High,"NRS 493.100 makes dangerous conduct over a heavily populated area or public gathering a misdemeanor, including low flight that endangers people and dropping an object with reckless disregard and willful indifference. NRS 493.130 separately makes intoxicated or careless or reckless aircraft operation that endangers life or property a gross misdemeanor and expressly includes UAVs; courts consider federal safe-operation standards when applying that rule. Nevada also requires any federally required aircraft certificate and operator certificate, permit, rating, or license. The park-specific exception to the acrobatic-flight clause does not excuse reckless operation or override a park’s separate drone restriction.","Screen aircraft and payload configuration against Dangerous, intoxicated, careless, or reckless UAV operation; federal credentials before deployment, including release devices, tethered tools, sample systems, and experimental attachments. Use configuration control so a field crew cannot inadvertently deploy a prohibited or ambiguous payload.",N/A — no agency process involved,"Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Treat Dangerous, intoxicated, careless, or reckless UAV operation; federal credentials as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text,NRS 493.100's populated-area/public-gathering rule and NRS 493.130's broader reckless-operation rule have different elements and penalties.
NV-003,Nevada,NV,32,Nevada,State,Statewide private and occupied real property,Nevada Legislature,UAV trespass action and registered-business or land-surveyor exception,Nev. Rev. Stat. § 493.103,Binding statute or regulation,2015-10-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Trespass; low-altitude overflight; notice; registered business; land surveying,UAV owners and operators,Repeated flight below 250 feet over property after notice that the flight is unauthorized,Civil cause of action with specified exceptions,No state permit; landowner authorization or satisfaction of a statutory exception may defeat this specific claim,No,High,High,"A Nevada property owner or lawful occupant may sue a UAV owner or operator for trespass when the aircraft flies below 250 feet over the property after at least one prior below-250-foot flight and after the operator has been notified that such flight is unauthorized. The action is unavailable for airport flight-path, takeoff, landing, compliant government, and certain commercial operations. A business registered in Nevada or a land surveyor qualifies for the commercial exception only when the operator has FAA authority, the flight is within lawful business or surveying activity, and it does not unreasonably interfere with the property’s existing use. Available relief includes treble injury damages and potentially fees, costs, and an injunction.","Translate UAV trespass action and registered-business or land-surveyor exception into the project flight plan and QA/QC checklist before mobilization, including the required control, collection, accuracy, retention, and deliverable items that apply to the work. Resolve any conflict between the agency guidance and the executed scope before collection so a technically successful flight does not produce an unacceptable survey deliverable.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat UAV trespass action and registered-business or land-surveyor exception as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text,"The commercial exception defeats this statutory trespass action only when every listed condition is met; it is not blanket permission to enter land, launch, land, or disregard other privacy or tort law."
NV-004,Nevada,NV,32,Nevada,State,Statewide near defined critical facilities and public-use airports,Nevada Legislature,UAV operation near critical facilities and within five miles of airports,"Nev. Rev. Stat. §§ 493.020(2), 493.109",Binding statute or regulation,2015-10-01,Critical-facility definition amended 2017; current codification reviewed 2026-08-02,Current / in force,Binding,Critical infrastructure; airport proximity; written consent; carried documentation,Any UAV operator,Operation within specified distances of a critical facility or public-use airport,Criminal prohibition with consent or FAA-authorization exceptions,"Yes — written critical-facility owner consent; and within five miles of an airport, airport consent or an applicable FAA waiver, exemption, or other authorization",No,High,High,"Nevada prohibits UAV operation within 500 horizontal feet or 250 vertical feet of a defined critical facility without the facility owner’s written consent. Covered sites include many energy, chemical, pipeline, water and wastewater, mining, electric-transmission, detention, prison, and corrections facilities, excluding underground utility infrastructure. Operation within five miles of a qualifying public-use airport requires consent from the airport authority or operator unless the operator has an applicable FAA waiver, exemption, or other authorization. The operator must carry the supporting documentation throughout the operation. A violation is a misdemeanor, so both site classification and the operative airport authorization should be documented before flight.","Treat written facility coordination as a pre-mobilization gate for work within Statewide near defined critical facilities and public-use airports; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nev. Rev. Stat. §§ 493.020(2), 493.109; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text,"Nevada's five-mile provision remains in the current code even though federal recreational-notification rules changed. The statute itself recognizes FAA waiver, exemption, or other authorization as an alternative to airport consent."
NV-005,Nevada,NV,32,Nevada,State,Statewide,Nevada Legislature,Weaponization of unmanned aerial vehicles prohibited,Nev. Rev. Stat. § 493.106,Binding statute or regulation,2015-10-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Weaponization; payloads; criminal penalties,Any person,"Weaponizing a UAV, operating a weaponized UAV, or discharging its weapon",Criminal prohibition,No exception or state approval pathway stated,No,Moderate,Moderate,"Nevada prohibits both weaponizing an unmanned aerial vehicle and operating a weaponized unmanned aerial vehicle. Either act is a category D felony. A person who weaponizes a UAV in violation of the statute and discharges the weapon commits a category C felony. The section states no permitting exception. Commercial teams should therefore scrutinize unusual payloads, release mechanisms, deterrent devices, and client-requested attachments before deployment rather than assuming that a nonfirearm device falls outside the prohibition; the statute itself does not define the word “weaponize,” so characterization can be fact sensitive.","Screen aircraft and payload configuration against Weaponization of unmanned aerial vehicles prohibited before deployment, including release devices, tethered tools, sample systems, and experimental attachments. Use configuration control so a field crew cannot inadvertently deploy a prohibited or ambiguous payload.",N/A — no agency process involved,"Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Treat Weaponization of unmanned aerial vehicles prohibited as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text,"Ordinary mapping and inspection sensors are not described as weapons, but ambiguous payloads should be analyzed before procurement or use."
NV-006,Nevada,NV,32,Nevada law enforcement agencies,State and political-subdivision agencies,Statewide law-enforcement UAV operations,Nevada Legislature,"Law-enforcement UAV warrants, exceptions, evidence limits, and equipment restrictions",Nev. Rev. Stat. § 493.112,Binding statute or regulation,2015-10-01,"Amended by S.B. 11, 2023; procurement provisions effective 2025-01-01",Current / in force,Binding,Law enforcement; warrants; privacy; emergency use; evidence; procurement,Nevada law-enforcement agencies and potentially contractors acting as their operators,"Gathering evidence or information by UAV and operating, purchasing, or acquiring covered systems or services","Warrant requirement, enumerated exceptions, exclusion rule, and equipment restriction",Judicial warrant required for covered surveillance unless a statutory exception applies,Yes — law-enforcement agencies,Moderate when serving law enforcement,Moderate,"A Nevada law-enforcement agency generally needs a warrant, limited to no more than 10 days unless renewed, to gather evidence or information by UAV within a residence’s curtilage or another place where a person has a reasonable expectation of privacy. Exceptions cover specified exigencies, detailed written consent, search and rescue, documented imminent threats, and declared emergencies or disasters subject to geographic and purpose limits. Information obtained contrary to the section is inadmissible and cannot support reasonable suspicion or probable cause. Law-enforcement agencies also must comply with the Department of Public Safety’s current equipment and service restrictions, subject to the statutory treatment of pre-effective-date acquisitions.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.","The public agency should route the warrant or exception determination through its established supervisory and legal process; the consultant should not assume it can supply that authority. Before collection, obtain written agency direction identifying the approved purpose, area, duration, data handling, and the agency official responsible for the determination.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nev. Rev. Stat. § 493.112; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,Verified against current official NRS text and S.B. 11 history,"The statute is directed to agencies. A commercial operator supporting an agency should establish whether the mission is agency operation and which party owns warrant, consent, documentation, and data-handling responsibilities."
NV-007,Nevada,NV,32,Nevada public agencies,State and political-subdivision agencies,Statewide public-agency UAV operations,Nevada Legislature and Nevada Department of Public Safety,"Public-agency UAV registration, authorized purposes, and use limitations",Nev. Rev. Stat. §§ 493.115-.118; Nev. Admin. Code § 493.100; LCB File R111-23,Binding statute or regulation,2015-10-01,R111-23 filed 2024-12-19; current statute reviewed 2026-08-02,Current / in force,Binding,Public agencies; registration; surveying; mapping; infrastructure; inspections; data limits,Nevada public agencies other than law-enforcement agencies,Operating a public-agency UAV and conducting authorized public-purpose missions,Registration and purpose limitations; prohibited law-enforcement assistance; inspection-data restriction,Yes — the agency must register each UAV with DPS before operation and operate within authorized public purposes,Yes,High when performing work for a public agency,High,"A Nevada public agency may operate a UAV only after registering it with the Department of Public Safety and in accordance with DPS regulations. Authorized purposes include surveying and mapping, inspection of public land and infrastructure, natural-resource and environmental evaluation, hazardous-material inspection, emergency functions, research, training, and other listed public uses. A public agency may not use its UAV to assist law enforcement or conduct a criminal prosecution. Scheduled building- or fire-code inspection is authorized, but the agency may not collect photographs, images, or recordings during that inspection, and improperly collected material is restricted. The registration submission identifies the agency, aircraft, operators, and intended use.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.","Use the current Nevada Legislature and Nevada Department of Public Safety application or request channel and provide a location map, aircraft details. The packet identifies the approval as: Yes — the agency must register each UAV with DPS before operation and operate within authorized public purposes. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.","Maintain asset-level records for registration status, weight with each payload, serial number, airworthiness documents when applicable, and renewal dates before assigning an aircraft to this state. Fleet planning should account for fees, renewal lead time, and whether swapping an aircraft or payload changes the approval or registration basis.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nev. Rev. Stat. §§ 493.115-.118; Nev. Admin. Code § 493.100; LCB File R111-23; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.dps.nv.gov/uav-registration/,2026-08-02,High,"Verified against current official statutes, NAC 493.100, approved R111-23, and DPS registration page",The official NAC webpage still labels Chapter 493 as revised 2017; approved R111-23 supplies the later building/fire-inspection amendment. Clarify whether a contractor-owned aircraft flown for an agency will be treated as an aircraft the agency operates.
NV-008,Nevada,NV,32,Nevada public and law-enforcement agencies,State and political-subdivision agencies,Statewide public-sector procurement and operation,Nevada Legislature and Nevada Department of Public Safety,"Restricted UAS vendors, equipment, and services for public agencies","Nev. Rev. Stat. §§ 493.112(5), 493.115(3), 493.118(6)-(10); LCB File R111-23",Binding statute or regulation,2025-01-01,A.B. 439 effective 2025-07-01; S.B. 12 organizational amendment effective 2025-07-01,Current / in force,Binding,Procurement; prohibited vendors; cybersecurity; data residency; public-sector fleets,Nevada public agencies and law-enforcement agencies,"Operating, purchasing, or acquiring UAS, related equipment, or services",Procurement and operation restriction with grandfathering and current statutory exception,No permit; agency determinations and statutory conditions apply,Yes,High for public-sector contracts and equipment or service offerings,High,"Nevada public and law-enforcement agencies may not operate, purchase, or acquire UAS, related equipment, or services contrary to DPS restrictions. The statutory lists incorporate specified Department of Defense entities and their products, Nevada technology-office prohibitions, and other DPS determinations; pre-January 1, 2025 acquisitions have a statutory operating grandfather. Effective July 1, 2025, an agency may acquire from a business or entity otherwise on the vendor list if related information is stored and maintained exclusively in the United States, inaccessible to third parties, the agency determines the vendor’s policies comply, and federal requirements—including funding restrictions—are met. U.S.-manufactured systems are encouraged where procurement law allows.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.",N/A — no agency process involved,"Treat Restricted UAS vendors, equipment, and services for public agencies as a time-sensitive eligibility check at solicitation and again before purchase or assignment to a public project. Maintain manufacturer and component attestations, model and serial inventories, software and data-hosting details, funding-source restrictions, and a replacement path; do not assume a restriction on a public owner automatically binds a consultant unless the contract says so.","State in the contract whether the public agency or the consultant is the operator and data custodian, and allocate authorization, disclosure, retention, and records-request duties accordingly. Do not represent an agency-only power or exception as authority for a privately controlled flight unless the verified source and written mission authorization support that relationship.",https://www.leg.state.nv.us/NRS/NRS-493.html,2026-08-02,High,"Verified against current official NRS text, approved R111-23, A.B. 439, and S.B. 12","The 2025 exception addresses acquisition from an otherwise listed business or entity; it should not be read as automatically overriding separate product, technology-office, federal-funding, or DPS restrictions."
NV-009,Nevada,NV,32,Nevada State Parks,State agency property,Nevada State Parks,Nevada Division of State Parks,State Parks drone prohibition and special-use permit exception,"Nevada State Parks FAQ; related Nev. Admin. Code §§ 407.050, 407.125",Official agency policy,,Current agency guidance reviewed 2026-08-02,Current agency policy,Official property-manager policy; related NAC provisions are binding,State parks; designated areas; special-use permits; commercial photography,Any person operating a drone in a Nevada State Park,"Drone operation, takeoff or landing, and photography or filming in state parks",Property prohibition with designated-area or special-use-permit exception,Yes — park-supervisor designation or special-use permit for unmanned-aircraft use; additional photography permitting may apply,No,High,High,"Nevada State Parks states that drone use is prohibited unless the park supervisor has designated an area for that use or the operator receives a special-use permit for unmanned-aircraft use; FAA rules continue to apply. The agency position aligns with NAC 407.125, which bars aircraft takeoff or landing from park land or water not specifically approved by the park supervisor, and with the Division’s permit authority. A commercial imagery project may also trigger the separate photography-permit framework based on its commercial nature, equipment, personnel, resource impacts, access needs, or closure requirements. Project teams should obtain park-specific written direction because designation and permit conditions can vary.","Treat property authorization for Nevada State Parks as a pre-mobilization gate and obtain conditions that cover launch, landing, route, dates, aircraft, crew, and sensor purpose. Confirm whether the approval is site-wide or location-specific and carry the written authorization and field contact with the crew.","Use the current Nevada Division of State Parks application or request channel and provide aircraft details. The packet identifies the approval as: Yes — park-supervisor designation or special-use permit for unmanned-aircraft use; additional photography permitting may apply. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nevada State Parks FAQ; related Nev. Admin. Code §§ 407.050, 407.125; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://parks.nv.gov/about/frequently-asked-questions,2026-08-02,High,"Verified against current official State Parks FAQ, current NAC Chapter 407, and official photography-permit materials",The FAQ states the UAS rule directly. Valley of Fire separately states that drones require an approved photography permit. The statewide FAQ is used as the controlling agency-wide source here.
NV-010,Nevada,NV,32,Nevada,State,Statewide commercial pesticide application,Nevada State Department of Agriculture,UAV aerial-pesticide applicator licensing and pilot qualifications,"Nev. Admin. Code §§ 555.280, 555.283, 555.380",Binding statute or regulation,2022-12-29,NAC Chapter 555 revised 2024-08; reviewed 2026-08-02,Current / in force,Binding,Pesticide application; aerial category; commercial licensing; remote-pilot certificate,"Commercial pesticide businesses, applicators, and aerial operators",Applying pesticides by unmanned aerial vehicle,State business/applicator licensing and operator qualification,Yes — applicable Nevada pest-control licenses and examinations; UAV aerial operator must hold an appropriate FAA remote-pilot certificate,No,High for treatment missions; low for imaging-only missions,Moderate,"Nevada classifies use of an aircraft, expressly including a UAV, to apply pesticides on water, rangeland, crops, forest, idle cropland, and associated noncropland as the aerial field of commercial pest control. A commercial applicator must apply for the appropriate field and category and pass the required examinations. An operator, including an aerial operator, must prove examination completion and employment by a Nevada-licensed pest-control business. When the application aircraft is a UAV, the aerial operator must hold a remote-pilot certificate with the appropriate UAS rating under Part 107. These rules are additional to pesticide-label, business-license, and applicable federal agricultural-aircraft requirements.","Treat UAV aerial-pesticide applicator licensing and pilot qualifications as a separate mobilization track from ordinary imaging: verify the operator, every pilot, each aircraft, payload, product, and mission approval before scheduling field work. Build extra lead time for licensing, aircraft configuration, training records, label review, and sensitive-site coordination.","Use the current Nevada State Department of Agriculture application or request channel and provide a location map, pilot credentials, aircraft details. The packet identifies the approval as: Yes — applicable Nevada pest-control licenses and examinations; UAV aerial operator must hold an appropriate FAA remote-pilot certificate. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.","Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Nev. Admin. Code §§ 555.280, 555.283, 555.380; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.leg.state.nv.us/Nac/NAC-555.html,2026-08-02,High,Verified against current official NAC text,"This record applies to pesticide application, not ordinary mapping, inspection, or vegetation imagery. Confirm the exact pesticide category and any project-specific permits before treatment."
