record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
IL-001,Illinois,IL,17,Illinois,State,Statewide,Illinois General Assembly,Freedom from Drone Surveillance Act,"725 ILCS 167/1 et seq. (originally P.A. 98-569, eff. 1-1-14; substantially amended by the Drones as First Responders Act, P.A. 103-101, eff. 6-16-23)",Binding law or regulation,2014-01-01 (original); 2023-06-16 (current substantive version),2023-06-16,Current / in force,Binding,"Law-enforcement UAS use restriction; privacy/surveillance limits; facial recognition and weaponization bans; retention, disclosure, and reporting rules","Law enforcement agencies (public agency only) and, in Section 40, private third-party drone owners whose data law enforcement seeks to acquire","Using a drone to gather information; onboard/offboard facial recognition matching; equipping a law-enforcement drone with a weapon; retaining, disclosing, or admitting drone-gathered information","Prohibition by default, with 10 enumerated exceptions (e.g., warrant, exigent circumstances, disaster response, routed/special-event safety monitoring, PSAP-dispatched response), plus retention/disclosure limits, an exclusionary rule, and an Attorney General pattern-and-practice enforcement mechanism",Search warrant required for one enumerated exception (Sec. 15(2)); no permit applicable to private commercial operators,Yes,No,Low,"Illinois' Freedom from Drone Surveillance Act (725 ILCS 167) generally prohibits a 'law enforcement agency' from using a drone to gather information except under 10 enumerated circumstances in Section 15 (e.g., a Section 108-3 search warrant, exigent circumstances, disaster/public-health emergency, missing-person search, crime-scene photography, infrastructure inspection at a local government's request, or monitoring a routed/special event with advance public notice). Sections 17-18 bar onboard facial recognition and weaponization. Section 20 requires destruction of gathered information within 30 days (24 hours for event monitoring), Section 25 restricts disclosure, Section 30 creates an evidentiary exclusionary rule, Section 35 requires annual public reporting to the Illinois Criminal Justice Information Authority, and Section 45 gives the Attorney General pattern-and-practice investigation and injunctive-relief authority, including a 6-12 month drone-use forfeiture remedy for an agency found in violation.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://law.justia.com/codes/illinois/2024/chapter-725/act-725-ilcs-167/,2026-08-01,High,"Full current statutory text (Sections 1 through 45) verified directly against the Illinois General Assembly's own codification via Justia's 2024 Illinois Compiled Statutes mirror; cross-checked for currency against the Act's own amendment history (most recent substantive amendment P.A. 103-101, eff. 6-16-23).","CITATION CORRECTION: this Act is 725 ILCS 167, not '725 ILCS 206' as a citation floating in some project working notes/prompts suggested — 725 ILCS 206 is not the Freedom from Drone Surveillance Act in the current Illinois Compiled Statutes. This Act governs law-enforcement UAS use only; it does not directly regulate private commercial/AEC drone operators, though AEC firms performing infrastructure-inspection work at a local government's request under Sec. 15(7) should be aware their imagery may be requested to be shared with or by a law-enforcement agency operating under this Act."
IL-002,Illinois,IL,17,Illinois,State,"Statewide, with an exception for municipalities of more than 1,000,000 inhabitants (Chicago) and a local-recreational-land carve-out",Illinois General Assembly / Illinois Department of Transportation,Regulation of Unmanned Aircraft Systems — State Preemption of Local Ordinances,"620 ILCS 5/42.1 (Illinois Aeronautics Act), current text per P.A. 103-925, eff. 8-9-24",Binding law or regulation,Unknown original enactment date (section predates the 8-9-24 amendment); current text effective 2024-08-09,2024-08-09,Current / in force,Binding,State preemption of local UAS regulation; home-rule limitation; IDOT rulemaking authority,"Units of local government (counties, municipalities, home-rule units); IDOT (rulemaking authority)","Enacting a local ordinance or resolution regulating UAS ownership, possession, or operation; adopting local rules governing UAS use of airspace above local recreational/conservation property","Preemption of local UAS regulation (denial/limitation of home-rule power), with (i) a full carve-out for municipalities over 1,000,000 population and (ii) a narrower carve-out letting any local government adopt 'reasonable rules' for UAS use of airspace above its own recreational/conservation property",N/A,No,High,High,"620 ILCS 5/42.1(b) makes UAS regulation 'an exclusive power and function of the State' to the extent State oversight doesn't conflict with federal law, and bars any unit of local government — including home-rule units — from enacting an ordinance or resolution regulating UAS; this expressly does not apply to a municipality of more than 1,000,000 inhabitants (Chicago is currently the only qualifying municipality). Subsection (b-5), added after the original preemption, separately preserves a local government's right to adopt 'reasonable rules' governing a private party's use of airspace above ground level over that government's own recreational/conservation property (parks, playgrounds, aquatic facilities, wildlife areas, etc.), provided those rules don't supersede State agency rules or federal law. Subsection (d) authorizes the Illinois Department of Transportation to adopt UAS safety rules.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.ilga.gov/legislation/ilcs/documents/062000050K42.1.htm,2026-08-01,High,"Full current statutory text, including subsection (b-5), verified directly against the Illinois General Assembly's own published document for 620 ILCS 5/42.1.","Several secondary/aggregator sources describe Illinois preemption as an absolute state-only regime subject only to the Chicago exception; that omits subsection (b-5), which lets any Illinois local government — not just Chicago — adopt its own 'reasonable rules' specifically for UAS operation over that government's own parks/recreation/wildlife land. This is directly relevant for AEC teams planning drone flights over municipal park district or forest preserve district property anywhere in Illinois: confirm whether the specific park district/forest preserve district has adopted its own airspace-use rule under (b-5) before assuming state preemption fully controls."
IL-003,Illinois,IL,17,Illinois,State,Statewide,Illinois Department of Natural Resources / Illinois General Assembly,"Wildlife Code — Prohibition on Using Unmanned Aircraft to Take, Pursue, or Harass Wildlife",520 ILCS 5/2.33(i),Binding law or regulation,"Unknown original enactment date for the unmanned-aircraft language; section most recently amended by P.A. 103-154, eff. 6-30-23",2023-06-30,Current / in force,Binding,"Wildlife-harassment / hunting-related UAS restriction, with a public-utility/mobile-service infrastructure-inspection exception",Any person (hunters and the general public); a specific exception applies to public utilities and mobile-service providers,"Using an unmanned aircraft (as defined by the Illinois Aeronautics Act) to take, pursue, or intentionally harass or disturb wild birds or mammals","Prohibition, with an exception for inspecting a public utility or mobile-service facility, tower, or structure by the utility or provider itself",N/A,No,Moderate,Moderate,"520 ILCS 5/2.33(i) makes it unlawful to take, pursue, or intentionally harass or disturb wild birds or mammals by use or aid of a vehicle, conveyance, or unmanned aircraft (as defined by the Illinois Aeronautics Act), except as permitted by federal regulations for waterfowl taking. The subsection carves out an exception: nothing in it prohibits use of an unmanned aircraft to inspect a public utility facility, tower, or structure, or a mobile-service facility, tower, or structure, by the public utility (as defined in the Public Utilities Act) or mobile-service provider itself.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.ilga.gov/Documents/legislation/ilcs/documents/052000050K2.33.htm,2026-08-01,High,"Full current statutory text of Section 2.33, including the utility-inspection exception, verified directly against the Illinois General Assembly's own published document.","The utility/mobile-service infrastructure-inspection exception is notable for AEC firms doing transmission-line, pipeline, or tower inspection work for a utility client in or near wildlife areas — but note the exception's text runs to the utility/provider itself, not expressly to an independent AEC consultant; confirm contract/agency relationship with the utility client before relying on this exception for a third-party-operated flight during a sensitive wildlife period."
IL-004,Illinois,IL,17,Illinois,State,"Illinois Capitol Complex, Springfield (State-owned/occupied buildings, grounds, and parking lots bounded by Washington, Third, Cook, and Pasfield Streets, including airspace)","Illinois Secretary of State, Department of Police",Operating Unmanned Aircraft on the Capitol Complex,71 Ill. Adm. Code 2005.65,Binding administrative regulation,2023-11-16,2023-11-16,Current / in force,Binding,"Restricted-government-facility UAS prohibition, with a Director-approval process and an explicit construction-documentation exception path","Any person, including AEC operators seeking to document Capitol Complex construction","Launching, landing, or operating a UAS from, on, or within the Capitol Complex (including its airspace)","Prohibition, except under advance written Director approval (subject to public-safety, property-risk, and interference criteria), or one of five listed exceptions including construction-site documentation flights authorized by the Office of the Architect of the Capitol",Yes — advance written approval from the Director of the Secretary of State Department of Police; construction-documentation flights specifically require Office of the Architect of the Capitol authorization plus advance notice to the Director,No,High,High,"71 Ill. Adm. Code 2005.65 closes the Capitol Complex to launching, landing, or operating unmanned aircraft, defining 'Capitol Complex' to include its airspace. Five exceptions apply: emergency law enforcement/fire response; health-and-safety-emergency support operations; national defense activities; Capitol-complex care-and-custody activities with prior Director approval; and flights required to document construction sites, which must be authorized by the Office of the Architect of the Capitol with advance notification to the Director. Outside those exceptions, a person may request advance written Director approval; the Director evaluates public-safety/health risk, property-damage risk, interference with the Complex's purposes or visitor access, and conflict with other scheduled uses, and may impose time/place/manner conditions. All FAA requirements apply independently and are not modified by this rule.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.law.cornell.edu/regulations/illinois/Ill-Admin-Code-tit-71-SS-2005.65,2026-08-01,High,"Full current rule text verified directly against Cornell LII's mirror of the Illinois Administrative Code, Title 71, Part 2005; rule adoption date (47 Ill. Reg. 17881, eff. 11-16-23) confirmed in the rule's own history note.","This is a rare state rule that names 'flights required to document construction sites' as its own defined exception path (subsection (d)(5)) — directly on point for AEC construction-progress-monitoring work on a Capitol Complex project, but note it requires both Office of the Architect of the Capitol authorization and advance notice to the Director, a two-step coordination distinct from the general Director-approval pathway in subsection (e)."
IL-005,Illinois,IL,17,"Illinois (all land, water, and facilities owned, leased, or managed by the Illinois Department of Natural Resources, including State parks)",State,"Statewide (IDNR-owned, -leased, or -managed property, e.g. Starved Rock, Matthiessen, Giant City, Illinois Beach, and the rest of the State park/recreation-area system)",Illinois Department of Natural Resources (IDNR),Public Use of State Parks and Other IDNR Properties — Aircraft Landing Authorization Requirement,"17 Ill. Adm. Code 110.160(i) (Part 110, General Provisions)",Binding administrative regulation,Unknown (current consolidated Part 110 text; provision current through the register cited by the codifier),Unknown,Current / in force,Binding,State park / public land UAS (aircraft) landing restriction,"Any person, including AEC/commercial UAS operators seeking to launch or land on IDNR property","Landing or attempting to land any aircraft on IDNR-owned, -leased, or -managed property",Prohibition except with prior Department authorization for each landing (emergencies excepted),Yes — site-specific prior written authorization from IDNR (coordinated through the relevant Site Superintendent and/or IDNR's Office of Land Management),No,High,High,"17 Ill. Adm. Code 110.160(i) makes it unlawful, except in cases of emergency, to land or attempt to land 'any aircraft' on Department-owned, -leased, or -managed property without prior authorization from the Department for each landing or attempted landing. The provision's text uses the general term 'aircraft' rather than a UAS-specific term; IDNR's own public-facing practice and site-level administration treat this landing-authorization requirement as applicable to drone launches/landings, consistent with the Illinois Aeronautics Act's general treatment of unmanned aircraft as a category of aircraft, and require site-by-site written permission before any drone flight originating from or landing on IDNR land.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://regulations.justia.com/states/illinois/title-17/part-110/subpart-a/section-110-160/,2026-08-01,Moderate,"Rule text (subsection (i)) verified directly against a current codification mirror (Justia Illinois Administrative Code) of 17 Ill. Adm. Code 110.160; IDNR's application of the generic 'aircraft' term to drones specifically was corroborated only by secondary reporting and general site practice, not by a located IDNR rule or guidance document using the word 'drone' or 'unmanned aircraft' in Part 110 itself.","AMBIGUITY FLAG per Section 13: Section 110.160(i)'s text says 'aircraft,' not 'unmanned aircraft' or 'drone' by name, unlike 520 ILCS 5/2.33(i) and 620 ILCS 5/42.1, which do use UAS-specific terms. Treat the rule's application to drones as a reasonable but not textually certain reading; confirm current site-specific practice directly with IDNR's Office of Land Management (217-782-6752) before relying on this citation for a specific IDNR-land AEC project."
IL-006,Illinois,IL,17,"Illinois (statewide, applicable to IDOT-administered/funded transportation projects)",State,"Statewide, applicable to any IDOT project or activity with a federal-funding nexus","Illinois Department of Transportation (IDOT), Division of Aeronautics",Unmanned Aircraft Systems Program Guidance and Foreign-Made-UAS (FASC-Prohibited-Manufacturer) Restriction,"IDOT Division of Aeronautics UAS program webpage; Memo, 'Foreign-Made Unmanned Aircraft (UAS) Restrictions' (Clayton Stambaugh, Deputy Director of Aeronautics, Mar. 18, 2026), implementing the American Security Drone Act of 2023 and OMB Memo M-26-02",Official agency policy,2026-03-18,2026-03-18,"Current / in force (IDOT states the restriction is in place indefinitely, with no resolution timeline provided)",Advisory guidance elevated to a binding condition of participation in IDOT-administered/funded UAS work,State-DOT UAS program administration; procurement/equipment (foreign-manufacturer) restriction tied to federal funding nexus,IDOT personnel and third-party contractors/consultants (including AEC firms) operating UAS in support of any IDOT project or activity with a federal-funding tie,"Operating a Federal Acquisition Security Council (FASC)-prohibited-manufacturer UAS (e.g., DJI, Autel, among others) on an IDOT project with any federal-funding nexus, including phase 1/2 work likely to draw federal funding later; general requirement to coordinate with the Division of Aeronautics before any IDOT-related UAS flight","Prohibition (equipment/manufacturer), plus a mandatory coordination/confirmation requirement before flying","Yes — contractors/consultants must contact the IDOT project's Construction Resident Engineer/Project Manager and the Division of Aeronautics to confirm (1) no federal-funding nexus and/or (2) the UAS is not FASC-prohibited, before operating","No — the memo explicitly extends to private contractor/consultant UAS, not just IDOT-owned equipment",High,High,"IDOT's Division of Aeronautics webpage and its March 18, 2026 memo to IDOT staff, consultants, and contractors state that FASC-prohibited UAS manufacturers (which the memo names as including DJI and Autel, among others) may not be used in support of any IDOT project or activity that has, or may later acquire, a nexus to federal funding — this applies to future procurements, to existing State-funded equipment operated on a federally-linked project, and expressly to third-party contractor/consultant UAS. IDOT directs affected personnel and consultants to coordinate with the Division of Aeronautics and the project's IDOT contact before any flight to confirm funding status and equipment compliance. IDOT states it is working with FHWA and other state DOTs toward a resolution but has been given no timeline, and the restriction is described as in place indefinitely as of the memo's date.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://idot.illinois.gov/travel-and-maps/aviation/unmanned-aircraft-systems.html,2026-08-01,High,"Both the IDOT webpage's 'What's New' notice and the full text of the underlying March 18, 2026 memo were fetched and read directly from IDOT's own official domain (idot.illinois.gov).","This is a live, currently disruptive agency policy for any AEC firm using common consumer/prosumer platforms (DJI, Autel are the two manufacturers IDOT names) on IDOT bridge-inspection, corridor, or mapping work with federal-aid highway funding; confirm project funding status and permitted airframes with the Division of Aeronautics (DOT.AERO.UAS@illinois.gov) before mobilizing equipment, and expect this to affect scheduling/equipment procurement decisions on a rolling basis given the 'indefinite' timeline IDOT has posted."
IL-007,Illinois,IL,17,Illinois,State,Statewide (government-agency procurement; sensitive-location geofencing provisions would reach private operators if enacted),Illinois General Assembly (104th General Assembly),Unmanned Aerial Systems Security Act (proposed — not enacted),"SB 2364, 104th Ill. Gen. Assemb. (2025-2026 Reg. Sess.)",Proposed or pending authority,"N/A — not enacted; bill as introduced proposes a January 1, 2026 effective date contingent on passage",N/A,"Pending — introduced 2/6/2025 (First Reading), referred to Assignments; last recorded action 2/7/2025, no further action as of this research date",Proposed or pending authority (not binding),Government-agency UAS procurement / approved-manufacturer / country-of-origin restriction; sensitive-location geofencing,Government agencies (procurement/use restriction); flight-mapping-software providers and general drone users (proposed sensitive-location geofencing),"Government purchase, acquisition, or use of a drone manufactured by, or produced by a manufacturer domiciled in or controlled by, a 'country of concern'; flying over an IDOT-identified 'sensitive location' without authorization","Proposed prohibition/restriction with a tiered drone classification system, a reimbursement fund for agencies with non-compliant equipment, and Class A misdemeanor penalties for unauthorized sensitive-location overflight — none of this is current law",N/A — not enacted,Yes (procurement provisions); sensitive-location geofencing as proposed would reach private users too,Moderate if enacted,Moderate if enacted,"SB 2364 would create the Unmanned Aerial Systems Security Act, barring a government agency from purchasing, acquiring, or using a drone (or related services/equipment) produced by a manufacturer domiciled in, or reasonably believed to be owned/controlled by, a 'country of concern,' with a 3-tier drone classification and a reimbursement fund for agencies holding non-compliant equipment. It would also require IDOT to identify 'sensitive location' coordinates and require flight-mapping-software providers to geofence them, making unauthorized flight over a sensitive location (or software facilitation of one) a Class A misdemeanor. As introduced, the bill proposes a January 1, 2026 effective date, but per the Illinois General Assembly's own bill-status page the bill's last recorded action is referral to the Senate Assignments Committee on February 7, 2025; it has not passed either chamber and is not current law.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.ilga.gov/ftp/legislation/104/BillStatus/HTML/10400SB2364.html,2026-08-01,High,Bill synopsis and full action history verified directly against the Illinois General Assembly's own official bill-status page.,"CITATION/STATUS CORRECTION: multiple secondary drone-law aggregator sites describe this Act as if it were current law 'effective January 1, 2026.' That is incorrect — per ILGA's own bill-status page, SB 2364 has not advanced past a February 2025 committee referral and is not enacted; the January 1, 2026 date appears only in the bill's own proposed-effective-date language, contingent on a passage that has not occurred. Track for possible re-introduction or advancement in a future session; do not cite as current law."
IL-008,Illinois,IL,17,Illinois,State,"Statewide, with specific application to critical infrastructure facilities and correctional institutions/facilities",Illinois General Assembly (104th General Assembly),Drone Safety and Interference Prevention Act (proposed — not enacted),"SB 3930 (Sen. Napoleon Harris, III) and HB 5275 (Rep. Angelica Guerrero-Cuellar), 104th Ill. Gen. Assemb. (2025-2026 Reg. Sess.)",Proposed or pending authority,"N/A — not enacted; bills as introduced propose a January 1, 2027 effective date contingent on passage",N/A,"Pending — HB 5275 passed House Judiciary-Criminal Committee 3/26/2026, reached Second Reading, then a floor amendment was filed and the bill was re-referred to Rules Committee 4/17/2026; SB 3930 remains in Senate committee process, last action 3/27/2026 (re-referred to Assignments)",Proposed or pending authority (not binding),Private-operator-facing critical-infrastructure and correctional-facility UAS overflight restriction; emergency-response imaging restriction; UAS weaponization prohibition (private operators),Private persons and entities operating drones,"Imaging an active emergency-response activity; operating a drone over a critical infrastructure facility; operating a drone over a correctional institution or facility; equipping a drone with a firearm, weaponized laser, kinetic-impact projectile, chemical agent/irritant, or other lethal/non-lethal weapon","Proposed prohibitions (new criminal offenses) with a law-enforcement seizure-and-forfeiture enforcement mechanism, court notice/hearing protections, and a good-faith civil-immunity provision for enforcing agencies — none of this is current law",N/A — not enacted,No,High if enacted,High if enacted,"SB 3930 and HB 5275 would each create the Drone Safety and Interference Prevention Act, establishing three new offenses — unlawful imaging of an emergency-response activity, unlawful operation over a critical infrastructure facility, and unlawful operation over a correctional institution or facility — and would bar any private person or entity from equipping a drone with a firearm, weaponized laser, kinetic-impact projectile, chemical agent/irritant, or other lethal/non-lethal weapon. A law enforcement officer could seize a drone and attached equipment on probable cause of a violation, with court-supervised forfeiture (notice and hearing required unless the drone is abandoned/unclaimed), a 30-day data-deletion default absent reasonable suspicion of evidentiary value, and civil immunity for good-faith enforcement. As introduced, both bills propose a January 1, 2027 effective date, but neither has passed either full chamber as of this research date — HB 5275 is procedurally further along (through committee and to Second Reading) than SB 3930 (still in Senate committee/Assignments).",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.ilga.gov/ftp/legislation/104/BillStatus/HTML/10400HB5275.html,2026-08-01,High,Bill synopsis and full action history for both SB 3930 and HB 5275 verified directly against the Illinois General Assembly's own official bill-status pages.,"If enacted, this would be Illinois' first private-operator-facing critical-infrastructure and correctional-facility no-fly provision — distinct from the law-enforcement-only restrictions in 725 ILCS 167 (IL-001) — and would directly affect a core AEC use case (utility/infrastructure inspection near facilities that could qualify as 'critical infrastructure'). Monitor both bills for further action; do not rely on either as current law."
IL-009,Illinois,IL,17,Illinois,State,Statewide,Illinois Department of Financial and Professional Regulation (IDFPR) / Illinois Land Surveyors Licensing Board,General Professional-Practice Definition and Photogrammetric-Methods Exception (no UAS-specific board guidance located),"225 ILCS 330/5 (Illinois Professional Land Surveyor Act of 1989, Definitions)",Binding administrative regulation (statute),"1989 (Act's original effective date), definitions section subsequently amended",Unknown,Current / in force,Binding (general licensing framework only — no UAS-specific rule or guidance identified),General professional-licensing competency / boundary of licensed practice for photogrammetric measurement,"Licensed Professional Land Surveyors; persons performing photogrammetric determination of land boundaries, configuration, contours, or fixed-object location","Practicing land surveying, or holding out as a Professional Land Surveyor, without a valid Illinois license; performing boundary/configuration/contour/fixed-object determination by photogrammetric methods","Licensure requirement for the 'practice of land surveying,' with a definitional exception for work performed by photogrammetric methods by a person holding ASPRS (or substantially similar, Department-approved) certification, or where the required accuracy is below the National Society of Professional Surveyors Model Standards",License (PLS) generally required for boundary-related surveying work; the photogrammetric-methods exception may remove certain UAS-derived mapping/photogrammetry work from the licensure requirement if the certification or accuracy conditions are met,No,High,High,"225 ILCS 330/5 defines the 'practice of land surveying' to include determining area, volume, configuration, or contours of the earth's surface, subsurface, or airspace with respect to boundary lines, or the location of fixed objects — 'except as performed by photogrammetric methods by persons holding certification from the American Society of Photogrammetry and Remote Sensing [ASPRS] or substantially similar certification as approved by the Department, or except when the level of accuracy required is less than the level of accuracy required by the National Society of Professional Surveyors Model Standards and Practice.' No standalone IDFPR or Illinois Land Surveyors Licensing Board rule, advisory, or FAQ specifically addressing UAS-derived photogrammetry, LiDAR, or orthomosaic mapping products was located during this research pass.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://law.justia.com/codes/illinois/chapter-225/act-225-ilcs-330/,2026-08-01,Low,"General statutory framework and the photogrammetric-methods definitional exception were located via secondary aggregation of the Act's definitions section; the exact current subsection text was not independently re-fetched in full and read section-by-section in this pass, and no UAS-specific guidance search was confirmed as exhaustive.","Per task scope, this is a general framework citation, not UAS-specific guidance — flagged Low confidence accordingly. Whether a given UAS-derived deliverable (e.g., a topographic surface, orthomosaic, or boundary-adjacent mapping product) falls inside or outside licensed practice under this exception is fact-specific and depends on the accuracy achieved and the operator's certification; recommend direct inquiry to IDFPR's Land Surveyors Licensing Board before relying on the exception for a boundary-adjacent deliverable."
IL-010,Illinois,IL,17,Illinois (no comprehensive UAS-specific executive order or appellate court decision located; no formal AG opinion located; no general statewide UAS procurement statute currently in force beyond IL-006/IL-007),State (research result — categories reviewed),Statewide,Governor of Illinois / Illinois Attorney General / Illinois courts (research result — categories reviewed),"Executive Orders, Attorney General Opinions, Court Decisions, and Procurement",N/A — categories reviewed; no dispositive UAS-specific source located in this research pass,Discovery lead — not final authority and not included in the final source register,N/A,N/A,Reviewed — no applicable UAS-specific source located (partial exception: AG guidance document noted below),N/A,General (research checklist categories: executive orders; AG opinions; court decisions; procurement),N/A,N/A,N/A,No,N/A,N/A,Low,"No Illinois gubernatorial executive order specifically and solely addressing UAS regulation was located. No formal Illinois Attorney General opinion construing a UAS-specific statute was located; the Attorney General's office has published non-regulatory guidance to law enforcement agencies on drone usage under 725 ILCS 167 and holds an express pattern-and-practice investigation/injunctive-relief role under Section 45 of that Act (see IL-001) — this is agency guidance directed at law enforcement, not a formal AG opinion, and is not separately regulatory of private AEC operators, so it is noted here rather than given its own record. No Illinois appellate court decision directly construing 725 ILCS 167, 620 ILCS 5/42.1, or 520 ILCS 5/2.33(i) was located. No general statewide state-agency UAS procurement or approved-manufacturer statute currently in force was located beyond the IDOT-specific federal-nexus policy already captured at IL-006 and the not-yet-enacted SB 2364 already captured at IL-007.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://illinoisattorneygeneral.gov/Page-Attachments/DroneGuidanceforLEA.pdf,2026-08-01,Low,"This entry reports a research result (absence of located dispositive sources in these categories, apart from the noted AG law-enforcement guidance document) rather than an affirmative binding authority; no comprehensive negative-search confirmation was performed.","Absence of a located source is not confirmation none exists; consider a direct inquiry to the Illinois Attorney General's office or the Illinois Courts' law library if a specific interpretive question arises on an EO, AG opinion, or court-decision point."
