record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
VA-001,Virginia,VA,51,Virginia,State,Statewide; another person's property within 50 feet of a dwelling house,Virginia General Assembly,"Trespass with a UAS — dwelling proximity, harassment, and notice to desist","Va. Code § 18.2-121.3(A)(i), (C)",Binding statute or regulation,"Effective July 1, 2018; later amended",Current code reviewed 2026-08-02,Current / in force,Binding,Trespass; dwelling; harassment; notice to desist,"Any person operating a UAS, subject to statutory exceptions","Knowingly and intentionally entering another's property within 50 feet of a dwelling for coercion, intimidation, harassment, or after actual notice to desist",Class 1 misdemeanor prohibition with specified exceptions,Consent or another subsection C exception may be material; no general state permit stated,No,High,High,"Section 18.2-121.3 makes it a Class 1 misdemeanor to knowingly and intentionally cause a UAS to enter another's property and come within 50 feet of a dwelling house either to coerce, intimidate, or harass another person, or after actual notice to desist for any other reason. Subsection C states exceptions involving consent, federally authorized and otherwise lawful operation consistent with federal regulations, employee official business, and specified utility or facility employees. The provision requires the stated intent, proximity, property-entry, or notice elements; it is not written as a general statewide setback from every dwelling.","Use a mission-specific collection plan for Statewide; another person's property within 50 feet of a dwelling house that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 18.2-121.3(A)(i), (C); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title18.2/chapter5/section18.2-121.3/,2026-08-02,High,Verified directly against current official Code of Virginia text,The official page URL has historically displayed an inconsistent title/chapter path in some indexes; citation and section text were verified on the current official page.
VA-002,Virginia,VA,51,Virginia,State,Statewide; FAA security-restricted launch and landing locations and state or local correctional facilities or juvenile correctional centers,Virginia General Assembly,Trespass with a UAS — federal security restrictions and correctional facilities,"Va. Code § 18.2-121.3(A)(ii)–(iii), (C)",Binding statute or regulation,"Effective July 1, 2018; later amended",Current code reviewed 2026-08-02,Current / in force,Binding,Security-sensitive airspace; corrections; contraband; inmate imaging,"Any person operating a UAS, subject to statutory exceptions",Taking off or landing contrary to specified federal security restrictions; dropping items within covered facilities; imaging identifiable inmates or residents,Class 1 misdemeanor prohibition with specified exceptions,Consent or another subsection C exception may be material; federal authorization may also be required,No,High,High,"Section 18.2-121.3 makes it a Class 1 misdemeanor to knowingly and intentionally cause a UAS to take off or land in violation of current FAA Special Security Instructions or UAS Security Sensitive Airspace Restrictions. It also covers dropping any item within a state or local correctional facility or juvenile correctional center, and obtaining a still or video image of an identifiable inmate or resident there. Subsection C contains consent, federally authorized operation, employee-business, and specified facility-employee exceptions, subject to their exact terms.","Treat written facility coordination as a pre-mobilization gate for work within Statewide; FAA security-restricted launch and landing locations and state or local correctional facilities or juvenile correctional centers; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Consent or another subsection C exception may be material; federal authorization may also be required. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.","Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 18.2-121.3(A)(ii)–(iii), (C); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title18.2/chapter5/section18.2-121.3/,2026-08-02,High,Verified directly against current official Code of Virginia text,Current live federal security instructions must be checked separately; this record states only the Virginia offense that incorporates them.
VA-003,Virginia,VA,51,Virginia,State,"Airspace over covered utilities, critical infrastructure, military bases, and Maritime Transportation Security Act facilities",Virginia General Assembly,Unauthorized UAS overflight of utilities and critical infrastructure,Va. Code § 18.2-121.3(B)–(C),Binding statute or regulation,"Effective July 1, 2025 for current subsection B",Current code reviewed 2026-08-02,Current / in force,Binding,Critical infrastructure; utilities; military bases; maritime security,"Any person operating a UAS, subject to statutory exceptions","Knowingly, intentionally, and without authorization entering the airspace over a covered facility",Class 4 felony prohibition with specified exceptions,"Authorization, consent, federal compliance, or covered official-business status may be material",No,High near covered facilities,High,"Subsection B makes it a Class 4 felony to knowingly, intentionally, and without authorization cause a UAS to enter the airspace over public services or utilities described in § 18.2-162, federally defined critical infrastructure including Department of Defense-authorized military bases, or a facility covered by the Maritime Transportation Security Act. Subsection C provides exceptions for consent, federal authorization coupled with otherwise lawful operation consistent with federal regulations, employee official business, and specified utility, infrastructure, or facility employees conducting official business.","Treat written facility coordination as a pre-mobilization gate for work within Airspace over covered utilities, critical infrastructure, military bases, and Maritime Transportation Security Act facilities; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Authorization, consent, federal compliance, or covered official-business status may be material. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 18.2-121.3(B)–(C); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title18.2/chapter5/section18.2-121.3/,2026-08-02,High,Verified directly against current official Code and 2025 amendment history,"2025 Chapters 374, 381, and 622 amended the section; confirm facility classification and authorization before a covered-site mission."
VA-004,Virginia,VA,51,Virginia,State,Property of contracted defense facilities containing controlled technical information,Virginia General Assembly,UAS imaging of controlled technical information at contracted defense facilities,Va. Code § 18.2-121.3(D),Binding statute or regulation,"July 1, 2025",Current code reviewed 2026-08-02,Current / in force,Binding,Defense facilities; controlled technical information; imaging; counter-UAS,"Any person operating a UAS; facility owners, operators, and employees receive a limited defensive-action immunity",Unauthorized property entry and obtaining or attempting to obtain imagery revealing controlled technical information,Class 4 felony prohibition and limited defensive-action immunity,Facility authorization is material; no general state permit is stated,No,High near defense work,High,"Subsection D makes it a Class 4 felony to knowingly, intentionally, and without authorization cause a UAS to enter a contracted defense facility's property and obtain or attempt to obtain imagery containing or revealing controlled technical information. This rule applies notwithstanding subsections A–C. The statute defines a contracted defense facility by specified Department of Defense contract work and defines controlled technical information by reference to DFARS clause 252.204-7012, excluding lawfully public information. It also gives qualifying facility owners, operators, and employees limited immunity for certain defensive actions that do not injure a person.","Treat the applicable written consent or authorization under Va. Code § 18.2-121.3(D) as a pre-mobilization gate and ensure it covers the site, dates, aircraft, crew, payload, and purpose. Do not lock the field schedule until the approving person and any notice, boundary, insurance, or operating conditions are documented.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Facility authorization is material; no general state permit is stated. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 18.2-121.3(D); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title18.2/chapter5/section18.2-121.3/,2026-08-02,High,Verified directly against current official Code and 2025 Chapters 374 and 381,The subsection applies notwithstanding A–C; obtain project-specific authorization and identify data classification before collection.
VA-005,Virginia,VA,51,Virginia,State,"Statewide; buildings, structures, or enclosures occupied or intended as dwellings",Virginia General Assembly,Peeping or spying into a dwelling with a UAS,Va. Code § 18.2-130.1(B)–(C),Binding statute or regulation,"Effective July 1, 2017; amended July 1, 2023",Current code reviewed 2026-08-02,Current / in force,Binding,Privacy; peeping; spying; dwellings; imagery,Any UAS operator; lawful criminal investigations excluded,Knowingly and intentionally using a UAS to secretly or furtively peep or spy into a dwelling under privacy-violating circumstances,Class 1 misdemeanor prohibition,No general permit stated,No,High,High,"Section 18.2-130.1 makes it unlawful to knowingly and intentionally cause a UAS to secretly or furtively peep or spy, or attempt to peep or spy, into or through an opening of a building, structure, or enclosure occupied or intended as a dwelling. The conduct must be without just cause and occur under circumstances violating the occupant's reasonable expectation of privacy. A violation is a Class 1 misdemeanor. The section does not apply to a lawful criminal investigation.","Use a mission-specific collection plan for Statewide; buildings, structures, or enclosures occupied or intended as dwellings that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Peeping or spying into a dwelling with a UAS as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://law.lis.virginia.gov/vacode/title18.2/chapter5/section18.2-130.1/,2026-08-02,High,Verified directly against current official Code of Virginia text,The rule focuses on secret or furtive viewing into a dwelling and does not state a general consent regime for all aerial imagery.
VA-006,Virginia,VA,51,Virginia,State,Statewide; operations by specified registrants and protective-order respondents,Virginia General Assembly,"Protected-person UAS following, contact, and imaging restrictions",Va. Code § 18.2-324.2,Binding statute or regulation,"July 1, 2018",Current code reviewed 2026-08-02,Current / in force,Binding,Following; contact; recognizable imagery; protective orders,Persons required to register under § 9.1-901 and respondents under specified protective orders,"Using a UAS to follow, contact, or capture images of protected persons under stated conditions",Class 1 misdemeanor prohibition,Permission is expressly material in subsection A; no agency permit stated,No,Low for ordinary staffing; high if a regulated individual is involved,Moderate,"Section 18.2-324.2 prohibits a person required to register under § 9.1-901 from knowingly and intentionally using a UAS to follow or contact another person without permission, or to capture recognizable images of another person without permission. It separately prohibits a respondent under specified protective orders from knowingly and intentionally using a UAS to follow, contact, or capture images of the petitioner or another individual named in the order. Either violation is a Class 1 misdemeanor. These are status-specific operator restrictions rather than general commercial UAS rules.",This record has no routine effect on an AEC mission or ordinary fleet operation because it applies to a separately regulated person or activity. Do not treat it as a general UAS operating rule; address it only if the stated regulated-party condition is actually present.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 18.2-324.2; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title18.2/chapter7/section18.2-324.2/,2026-08-02,High,Verified directly against current official Code of Virginia text,Do not treat this as a general UAS-registration or employee-screening mandate.
VA-007,Virginia,VA,51,Virginia,State,Statewide; covered public-body investigative and other government UAS use,Virginia General Assembly,Use of unmanned aircraft systems by public bodies; search warrant required,Va. Code § 19.2-60.1,Binding statute or regulation,"Current framework effective July 1, 2015; subsequently amended","Amended July 1, 2026",Current / in force,Binding,Public safety; surveillance; warrants; regulatory enforcement; weaponized UAS,"Covered state and local public bodies, law-enforcement agencies, and departments; private commercial use expressly preserved","Investigative, regulatory, public-support, and weaponized public-body UAS use","Warrant requirement, enumerated exceptions, evidentiary exclusion, and weaponization prohibition",Warrant or stated exception required for covered investigative use; no approval imposed on ordinary private commercial use,Yes,High on public-agency projects,High,"Section 19.2-60.1 generally requires a search, administrative, or inspection warrant when covered state or local bodies use UAS for criminal-law or regulatory investigations. It enumerates warrantless exceptions, including alerts, immediate danger, crash reconstruction, consent, certain arrest operations, investigation of UAS around government property or public critical infrastructure, and specified DEQ enforcement. Non-law-enforcement government support such as damage, traffic, flood, and wildfire assessment is outside the warrant requirement, and the section does not prohibit private commercial use. Public deployment or facilitation of weaponized UAS is generally prohibited, subject to stated exceptions.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.","Use the current named facility or administering agency application or request channel and provide aircraft details. The packet identifies the approval as: Warrant or stated exception required for covered investigative use; no approval imposed on ordinary private commercial use. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.","Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 19.2-60.1; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title19.2/chapter5/section19.2-60.1/,2026-08-02,High,Verified directly against current official 2026 Code text,2026 Chapter 245 added or revised current exceptions. Government clients must classify mission purpose before relying on subsection D.
VA-008,Virginia,VA,51,Virginia,State,Statewide; political-subdivision boundaries and property owned by political subdivisions,Virginia General Assembly,Local regulation of privately owned UAS and subdivision-owned property,Va. Code § 15.2-926.3,Binding statute or regulation,"Effective July 1, 2016; amended July 1, 2020",Current code reviewed 2026-08-02,Current / in force,Binding,Preemption; local property; takeoff; landing; commercial exceptions,Political subdivisions and UAS operators using subdivision-owned property,Regulating privately owned UAS use and takeoff or landing on subdivision-owned property,State preemption with limited local property-rule authority and exceptions,A local property rule may apply if validly adopted and published; no statewide operator permit stated,No,High,High,"Section 15.2-926.3 prohibits a political subdivision from regulating privately owned UAS use within its boundaries. A subdivision may regulate UAS takeoff and landing on property it owns, but the measure must follow Department of Aviation rules, be reported to the department, and be published through the statutory process. The section preserves access controls and enumerates protected operations, including federally compliant commercial operations, certain emergency or maintenance support, technical-malfunction landings, public-safety operations, and specified federal-government work.","Use the state rule to identify what a political subdivision may regulate, then check only the controlling property's published operating terms before launch. Record the applicable boundary, property owner, designated-use area, notice, and permission status in the flight packet without assuming that state preemption eliminates property-use conditions.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 15.2-926.3; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title15.2/chapter9/section15.2-926.3/,2026-08-02,High,Verified directly against current official Code of Virginia text,"Local-ordinance details are deferred, but subdivision-owned launch and landing sites require a current property-rule check."
VA-009,Virginia,VA,51,Virginia,State,Statewide aircraft-registration program,Virginia General Assembly,Virginia aircraft registration; unmanned-aircraft exemption,Va. Code § 5.1-5(A),Binding statute or regulation,"UAS exemption effective July 1, 2025",Current code reviewed 2026-08-02,Current / in force,Binding,State aircraft registration; exemption,Owners of unmanned aircraft,Registration of aircraft with the Virginia Department of Aviation,Express exemption from state aircraft registration,No Virginia aircraft registration required for an unmanned aircraft,No,High,High,"Virginia generally requires specified resident, based, aerial-application, and intrastate for-hire civil aircraft to register with the Department of Aviation before operation. Section 5.1-5(A), however, expressly states that an owner of an unmanned aircraft as defined in § 19.2-60.1 is not required to register that aircraft. This is an exemption from Virginia's aircraft-registration program, not an exemption from applicable federal registration, FAA operating requirements, property-use restrictions, or the other state UAS provisions summarized here.","Do not add a Virginia aircraft-registration task for the unmanned aircraft covered by this express exemption. Keep the exemption citation with the fleet compliance record while continuing to screen for mission-specific property, facility, wildlife, and client requirements.",N/A — no agency process involved,"Do not create a state-registration purchasing gate where this record expressly exempts unmanned aircraft. Keep federal registration and asset records current, and separately check whether a mission-specific permit, property rule, weight threshold, or public-client specification still affects the selected system.","Preserve the mission screening and factual basis for compliance with Va. Code § 5.1-5(A), including the operating area, purpose, approvals, and any relied-upon exception. Escalate ambiguous scope, conflicting client direction, or facts that could change the regulated party or activity before flight.",https://law.lis.virginia.gov/vacode/title5.1/chapter1/section5.1-5/,2026-08-02,High,Verified directly against current official Code and 2025 update,No state registration application is required for UAS under this section.
VA-010,Virginia,VA,51,Virginia,State,Commonwealth agencies and agencies or departments employing law-enforcement officers,Virginia General Assembly,Acquisition and use of weaponized unmanned aerial vehicles,Va. Code § 2.2-5515,Binding statute or regulation,"March 1, 2021; amended July 1, 2022",Current code reviewed 2026-08-02,Current / in force,Binding,Public procurement; weaponized UAV; military property; waiver,Commonwealth agencies and leadership of covered agencies or departments; Virginia National Guard and Defense Force excluded,"Acquiring, purchasing, or continuing to use weaponized UAVs",Procurement prohibition and Criminal Justice Services Board waiver process for prior acquisitions,Board waiver required for covered continued use; acquisition or purchase is prohibited,Yes,Low for ordinary AEC equipment; relevant to unusual public-safety procurement,Low,"Section 2.2-5515 prohibits a Commonwealth agency or the leadership of an agency or department employing law-enforcement officers from acquiring or purchasing weaponized unmanned aerial vehicles and other listed military property. A covered agency that previously acquired a prohibited item may not use it without a Criminal Justice Services Board waiver based on good cause and a bona fide public-safety purpose; a request generally is limited to special-weapons or equivalent units, with a State Police exception. The Virginia National Guard and Virginia Defense Force are excluded.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Board waiver required for covered continued use; acquisition or purchase is prohibited. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.","Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Va. Code § 2.2-5515; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.lis.virginia.gov/vacode/title2.2/chapter55.4/section2.2-5515/,2026-08-02,High,Verified directly against current official Code of Virginia text,This is not a general manufacturer or country-of-origin restriction and does not apply to ordinary unweaponized private AEC fleets.
