"record_id","state","state_abbr","state_fips","jurisdiction_name","jurisdiction_type","geographic_scope","issuing_authority","source_title","citation","source_type","effective_date","revision_date","status","binding_level","uas_topic","regulated_party","regulated_activity","requirement_type","permit_or_approval_required","public_agency_only","commercial_operator_relevance","aec_relevance","summary","practical_interpretation_aec_expert","practical_interpretation_agency_practitioner","practical_interpretation_uas_procurement_expert","practical_interpretation_legal_counsel","source_url","date_accessed","confidence_level","verification_status","notes"
"UT-001","Utah","UT","49","Utah","State","Statewide commercial UAS operations for which federal certification is required","Utah Legislature and Utah Department of Transportation","Commercial UAS state registration and UDOT pre-registration process","Utah Code §§ 72-10-109(4), 72-10-110(4); UDOT Aircraft Registration — Drone Registration","Binding statute or regulation","January 1, 2025; statutes amended May 6, 2026","UDOT process reviewed 2026-08-02","Current / in force; official portal pending","Binding statute and official agency procedure","State registration; annual certificate; fee rule; pre-registration","Commercial UAS operators and owners whose operation requires federal certification","Operating a UAS commercially in Utah and obtaining the state operating certificate","State registration requirement administered through interim pre-registration","Yes — current UDOT pre-registration, followed by fee payment and certificate through the announced portal","No","High","High","Beginning January 1, 2025, Utah Code § 72-10-109 prohibits commercial operation in Utah of a UAS for which federal certification is required unless the aircraft has a current Utah Department of Transportation registration certificate. Section 72-10-110 directs UDOT to establish UAS registration fees and related rules. UDOT states that commercial and government operators should currently submit its pre-registration form while the official portal is developed, with launch expected in late summer 2026, and that pre-registration complies with state code until operators are contacted to pay and obtain a state operating certificate.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://connect.udot.utah.gov/public/aircraft-registration/","2026-08-02","High","Verified against current Utah Code and current UDOT registration page","UDOT describes annual renewal and a separate state certificate. The live fee and final portal workflow were not yet published on the reviewed page."
"UT-002","Utah","UT","49","Utah","State","Political subdivisions statewide, with airport-operator exceptions","Utah Legislature","Preemption of local UAS ordinances and statewide recognition of business licenses","Utah Code § 72-10-701","Binding statute or regulation","May 3, 2023","Current code reviewed 2026-08-02","Current / in force","Binding","State preemption; airport authority; local business licensing","Political subdivisions, airport operators, and Part 107 or Part 135 commercial UAS businesses","Local regulation of private UAS use and licensing of commercial UAS businesses","State preemption with airport exception and single-license recognition framework","A political subdivision may require one business license only when the business lacks a current license in good standing from another Utah subdivision","No","High","High","Section 72-10-701 generally bars Utah political subdivisions from regulating private UAS use unless Chapter 10 authorizes the rule or an airport operator governs operations within airport boundaries or takeoff and landing at its airport. A commercial Part 107 or Part 135 UAS business may be required to obtain one local business license if it lacks a current license in good standing elsewhere in Utah, but other subdivisions must recognize that license. Fees are limited to actual processing cost, and multiple subdivision licenses or per-employee licenses are prohibited.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S701.html","2026-08-02","High","Verified directly against the current Utah Code page","The statute supersedes political-subdivision UAS laws enacted before July 1, 2022. Local ordinance research is deferred under project scope."
"UT-003","Utah","UT","49","Utah","State","Statewide law-enforcement acquisition, receipt, and use of UAS data","Utah Legislature","Law-enforcement use of UAS data","Utah Code §§ 72-10-801, 72-10-802","Binding statute or regulation","May 6, 2026","Amended by 2026 Chapter 118","Current / in force","Binding","Law enforcement; warrants; nongovernment data; emergency; surveillance","Law-enforcement agencies and officers; nongovernment data sources","Obtaining, receiving, using, and destroying data acquired through UAS or associated imaging devices","Use restriction with warrant, exception, emergency, and privacy pathways","A warrant or recognized exception may be required depending on purpose and privacy expectations","Yes, but expressly addresses data obtained from nongovernment actors","High for law-enforcement clients or requested data transfers","High","Section 72-10-802 prohibits a law-enforcement agency or officer from obtaining, receiving, or using UAS-acquired data unless it is obtained under a warrant, a judicially recognized warrant exception, qualifying circumstances involving a nongovernment actor, a lost-person search where no reasonable expectation of privacy exists, or another method that does not violate a reasonable expectation of privacy. Nongovernment data may be used for law-enforcement purposes only when it appears crime-related or supports a good-faith imminent or ongoing emergency. Covered data must be destroyed as soon as reasonably possible, subject to applicable retention law.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S802.html","2026-08-02","High","Verified directly against the current Utah Code page effective May 6, 2026","The section applies to an imaging surveillance device used with a UAS. It can affect a consultant asked to provide imagery or data to law enforcement."
"UT-004","Utah","UT","49","Utah","State","Statewide law-enforcement data involving persons, structures, or areas outside a mission target","Utah Legislature","Law-enforcement UAS data retention and incidental collection","Utah Code § 72-10-803","Binding statute or regulation","May 3, 2023","Current code reviewed 2026-08-02","Current / in force","Binding","Data retention; incidental collection; disclosure; public lands","Law-enforcement agencies","Using, copying, disclosing, and destroying nontarget UAS data","Data minimization and destruction requirement with enumerated exceptions","No operator application stated; court orders and statutory exceptions can alter retention","Yes","Moderate for law-enforcement clients and data processors","Moderate","Section 72-10-803 generally bars a law-enforcement agency from using, copying, or disclosing UAS data about a person, structure, or area that was not a mission target and requires destruction as soon as reasonably possible under applicable law. Exceptions cover inseparable target data, court-ordered or nongovernment-actor data, inadvertent collection that appears crime-related, emergency information whose use or disclosure would assist the response, and data collected over public lands outside municipal boundaries. The duty applies to the agency, but a contractor handling agency data may need to support the agency's retention and deletion controls.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S803.html","2026-08-02","High","Verified against the current official Utah Code section PDF and current chapter text","This record is separated from § 72-10-802 because it addresses nontarget retention rather than the initial legal basis for acquisition or use."
"UT-005","Utah","UT","49","Utah","State","Statewide","Utah Legislature","Weapon attached to an unmanned aircraft","Utah Code §§ 72-10-901, 72-10-902","Binding statute or regulation","May 3, 2023","Definitions amended in 2025; current code reviewed 2026-08-02","Current / in force","Binding","Weaponized UAS; payload; federal approval; government contract","Any person operating a UAS carrying or fitted with a weapon","Flying a UAS that carries a weapon or has a weapon attached","Criminal prohibition with federal-approval, government-contract, and DOD-airspace exceptions","FAA written approval, an authorizing state or federal contract, or DOD permission is required for the corresponding exception","No","Moderate for unusual payloads and government work","Moderate","Section 72-10-902 makes flying an unmanned aircraft that carries or has an attached weapon a class B misdemeanor. The statutory weapon definition includes a firearm and an object capable, in its use or intended use, of causing death, bodily injury, or property damage under listed contextual factors. Exceptions apply when the operator follows an FAA certificate of authorization or other written approval, performs under a state or federal contract that permits the armed operation, or operates with Department of Defense permission in DOD-controlled airspace.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S902.html","2026-08-02","High","Verified directly against the current Utah Code page and current chapter text","The contextual weapon definition warrants review of unusual release, impact, or mitigation payloads; ordinary sensing payloads are not identified as weapons."
"UT-006","Utah","UT","49","Utah","State","Property of a correctional facility statewide","Utah Legislature","Unlawful operation of a UAS near a correctional facility","Utah Code § 72-10-903","Binding statute or regulation","May 6, 2026","Amended by 2026 Chapter 258","Current / in force","Binding","Corrections; item delivery or removal; facility security","Any UAS operator, with a mosquito-abatement employee or contractor exception","Carrying, dropping, or removing items at correctional property or interfering with facility operations or security","Criminal prohibition with narrow employment exception","No general approval path stated","No","High near correctional facilities","High","Section 72-10-903 prohibits operating a UAS to carry or drop any item to or inside correctional-facility property, to remove any item from inside that property, or to interfere with facility operations or security. Carrying, dropping, or removing an item is a third-degree felony; operational or security interference is a class B misdemeanor. The 2026 amendment preserves a narrow exception for an employee or contractor working for a mosquito-abatement district while acting within the scope of employment. The text does not publish a general consultant permit or consent exception.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S903.html","2026-08-02","High","Verified against enrolled 2026 SB 93 and current official Utah Code chapter text","The offense concerns specified conduct at correctional property rather than a stated fixed-distance buffer. Facility and property authorization remain separate mission-planning questions."
"UT-007","Utah","UT","49","Utah","State","Statewide UAS operations","Utah Legislature","Safe UAS operation — visual line of sight, airspace, airport, notice, and altitude rules","Utah Code § 72-10-1002(1)–(4), (7)–(9)","Binding statute or regulation","May 1, 2024","Current code reviewed 2026-08-02","Current / in force","Binding","Visual line of sight; controlled airspace; airports; notices to airmen; altitude; penalties","Individuals operating unmanned aircraft","Operating a UAS in Utah airspace","Operating restrictions with civil liability and escalating enforcement","Air-traffic-control authorization and FAA altitude waivers apply where specified","No","High","High","Section 72-10-1002 requires an individual operator to maintain visual line of sight directly or through a visual observer, obtain air-traffic-control authorization for listed controlled airspace, avoid interfering with airports, heliports, or seaplane bases, comply with the cited notice-to-airmen rule, and remain at or below 400 feet unless the stated structure exception or an FAA waiver applies. Violations can create civil liability. Enforcement begins with a written warning, then escalates to an infraction and, after prior convictions, a class B misdemeanor.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S1002.html","2026-08-02","High","Verified directly against the current Utah Code page","Some provisions track federal operating concepts but are independently stated in Utah law. This record does not replace live airspace review."
"UT-008","Utah","UT","49","Utah","State","Public-transit rail property and surface critical-infrastructure facilities statewide","Utah Legislature","Safe UAS operation — public transit and critical infrastructure","Utah Code § 72-10-1002(5)–(6)","Binding statute or regulation","May 1, 2024","Current code reviewed 2026-08-02","Current / in force","Binding","Public transit; rail; critical infrastructure; facility authorization","Individuals operating unmanned aircraft, including contractors","Launching from transit facilities, low operations over guideways and electric lines, and overflight of surface critical infrastructure","Location-based prohibition with client, law-enforcement, and regulatory-agency exceptions","Prior facility authorization is required for ordinary operation over surface critical infrastructure","No","High for infrastructure work","High","Section 72-10-1002 prohibits ordinary UAS operation from a public-transit rail platform or station and specified flight below 50 feet within a fixed-guideway right-of-way directly over traction-power lines. An employee or contractor of a large public transit district may use a UAS there for listed safety purposes. The section separately bars operation over a defined surface critical-infrastructure facility without prior facility authorization, except for first responders and state or federal regulators. A consultant's client relationship alone does not appear to create the regulatory-agency exception.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S1002.html","2026-08-02","High","Verified directly against the current Utah Code page","Surface critical infrastructure is defined in Utah Code § 76-6-106.3. Obtain the facility owner or operator's written authorization for ordinary consultant operations."
"UT-009","Utah","UT","49","Utah","State","Public-entity critical-infrastructure inspections and contractors working directly for public entities","Utah Legislature","Covered-foreign-entity UAS restriction for public critical-infrastructure inspection","Utah Code §§ 72-10-1201, 72-10-1202","Binding statute or regulation","January 1, 2025","Current code reviewed 2026-08-02","Current / in force","Binding","Procurement; covered foreign entity; cybersecurity; critical infrastructure; public contracts","Public entities and contractors working directly for public entities","Purchasing or operating UAS for critical-infrastructure inspection","Manufacturer-origin restriction with controlled-operation alternative","No state application stated; the public entity must ensure the statutory controls","No — expressly reaches direct public-entity contractors","High for public-client infrastructure work","High","Sections 72-10-1201 and 1202 prohibit a public entity or a contractor working directly for one from purchasing or operating, for critical-infrastructure inspection, a UAS manufactured or assembled by a covered foreign entity. Regardless of origin, an otherwise covered UAS may be operated when the public entity ensures it remains disconnected from the Internet during inspection, all collected imagery, geospatial data, and flight logs are removed before later Internet connection, and any required Internet video broadcast uses U.S.-developed software or software approved under the latest National Defense Authorization Act.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title72/Chapter10/72-10-S1202.html","2026-08-02","High","Verified directly against the current Utah Code page and statutory definitions","The rule is mission- and client-specific rather than a statewide ban on owning a listed manufacturer's aircraft. Contract documents may impose stricter flow-down terms."
"UT-010","Utah","UT","49","Utah","State","Private places and property statewide","Utah Legislature","Unlawful privacy violation and UAS commercial-purpose defense","Utah Code § 76-12-302","Binding statute or regulation","May 7, 2025","Renumbered and amended by 2025 Chapter 173","Current / in force","Binding","Privacy; surveillance; commercial defense; ground-penetrating technology; surveying","Persons using surveillance devices or ground-penetrating technology, including UAS operators","Observing or recording events in a private place and collecting protected subsurface property data","Criminal and civil privacy prohibition with UAS and land-surveyor defenses","Consent may be required; no agency permit stated","No","High","High","Section 76-12-302 makes specified unauthorized surveillance of a private place, and certain nonconsensual ground-penetrating collection about property, a class B misdemeanor with possible destruction of data and civil remedies. A UAS operator has a defense when the flight serves a legitimate commercial or educational purpose, follows applicable FAA authority, and any otherwise prohibited conduct is solely incidental to that lawful use. A land surveyor performing a bona fide contract receives a separate ground-penetrating-data exception only if irrelevant data about noncontract property is not distributed and is destroyed after the contract.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title76/Chapter12/76-12-S302.html","2026-08-02","High","Verified directly against the current Utah Code page","The commercial UAS provision is a defense with factual elements, not blanket immunity. Ground-penetrating obligations are relevant only when that technology is actually used."
"UT-011","Utah","UT","49","Utah","State","Private property statewide","Utah Legislature","Criminal trespass involving unmanned aircraft","Utah Code § 76-6-206","Binding statute or regulation","May 7, 2025","Amended by 2025 Chapters 173 and 295","Current / in force","Binding","Trespass; private property; notice; intent; fear; civil damages","Persons causing an unmanned aircraft to enter or remain over private property","Unlawful UAS presence over private property with specified intent, recklessness, or notice","Criminal prohibition and civil-damages provision","Property authorization defeats the UAS-specific remain-unlawfully element; no agency permit stated","No","High","High","Section 76-6-206 defines entry to include an entire unmanned aircraft and treats a UAS as remaining unlawfully over private property when the property is not open to the public and the operator lacks authorization. Criminal trespass requires additional statutory circumstances, including intent to annoy, injure, damage property, or commit a specified crime; recklessness about causing fear; or knowing unlawful presence after legally sufficient notice. Penalties vary by conduct, and the statute authorizes statutory damages, attorney fees, and costs. Authorized or public access under lawful conditions provides a stated defense.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://le.utah.gov/xcode/Title76/Chapter6/76-6-S206.html","2026-08-02","High","Verified directly against the current Utah Code page","Unauthorized overflight alone is not summarized as automatically satisfying every offense element; intent, recklessness, or notice requirements remain material."
